ConceptID	Active	FSN	USPreferredTerm
281543009	1	Strain of tendon of medial thigh muscle (disorder)	Strain of tendon of medial thigh muscle
281544003	1	Strain of tendon of foot and ankle (disorder)	Strain of tendon of foot and ankle
281559009	1	Number of days off work (observable entity)	Number of days off work
281568006	1	Fetal heart monitoring (regime/therapy)	Fetal heart monitoring
281595001	1	Thrombosis of inferior vena cava (disorder)	Thrombosis of inferior vena cava
281598004	1	Sprain of spinal ligament (disorder)	Sprain of spinal ligament
281599007	1	Sprain of ligament of lower limb (disorder)	Sprain of ligament of lower limb
281610001	1	Neonatal hyperbilirubinemia (disorder)	Neonatal hyperbilirubinemia
281611002	1	Neonatal unconjugated hyperbilirubinemia (disorder)	Neonatal unconjugated hyperbilirubinemia
281612009	1	Neonatal conjugated hyperbilirubinemia (disorder)	Neonatal conjugated hyperbilirubinemia
281642007	1	Skin of part of dorsal surface of hand (body structure)	Skin of part of dorsal surface of hand
281666001	1	Family history of disorder (situation)	Family history of disorder
281676003	1	Structure of ileocolic lymph node (body structure)	Structure of ileocolic lymph node
281691001	1	Physiological monitoring regime (regime/therapy)	Physiological monitoring regime
281694009	1	Finding of at risk (finding)	At risk - finding
281700003	1	Benign papilloma of bladder (disorder)	Benign papilloma of bladder
281765006	1	Structure of prececal lymph node (body structure)	Structure of prececal lymph node
281789004	1	Antibiotic therapy (procedure)	Antibiotic therapy
281790008	1	Intravenous antibiotic therapy (procedure)	Intravenous antibiotic therapy
281794004	1	Viral upper respiratory tract infection (disorder)	Viral upper respiratory tract infection
281847004	1	Structure of retrocecal lymph node (body structure)	Structure of retrocecal lymph node
281864001	1	Non-traumatic intracranial subdural hematoma (disorder)	Non-traumatic intracranial subdural hematoma
281897000	1	Helicobacter eradication therapy (procedure)	Helicobacter eradication therapy
281899002	1	Congenital hydrocephalus caused by toxoplasmosis (disorder)	Congenital hydrocephalus due to toxoplasmosis
281900007	1	No abnormality detected (finding)	No abnormality detected
282020008	1	Premature delivery (finding)	Premature delivery
282026002	1	Soft tissue injury (disorder)	Soft tissue injury
282028001	1	Multiple-resistant Staphylococcus aureus infection (disorder)	Multiple-resistant Staphylococcus aureus infection
282031000	1	Structure of midcolic lymph node (body structure)	Structure of midcolic lymph node
282044005	1	Structure of penile artery (body structure)	Structure of penile artery
282095007	1	Allergic reaction caused by bee sting (disorder)	Allergic reaction to bee sting
282096008	1	Retinal photography (procedure)	Retinal photography
282100009	1	Adverse reaction caused by substance (disorder)	Adverse reaction to substance
282145008	1	Unable to walk (finding)	Unable to walk
282191000	1	Laminotomy for decompression and exploration (procedure)	Laminotomy for decompression and exploration
282258000	1	moles per unit volume (qualifier value)	moles per unit volume
282291009	1	Diagnosis interpretation (observable entity)	Diagnosis interpretation
282299006	1	Unable to balance (finding)	Unable to balance
282302006	1	Difficulty balancing (finding)	Difficulty balancing
282749008	1	Head and neck injury (disorder)	Head and neck injury
282752000	1	Injury of eye region (disorder)	Injury of eye region
282760004	1	Clavicle injury (disorder)	Clavicle injury
282762007	1	Fingernail injury (disorder)	Fingernail injury
282766005	1	Lower back injury (disorder)	Lower back injury
282770002	1	Injury of ribs (disorder)	Injury of ribs
282776008	1	Injury of toe (disorder)	Injury of toe
282782006	1	Injury of scrotum (disorder)	Injury of scrotum
282783001	1	Injury of tongue (disorder)	Injury of tongue
282785008	1	Anterior cord syndrome (disorder)	Anterior cord syndrome
282825002	1	Paroxysmal atrial fibrillation (disorder)	Paroxysmal atrial fibrillation
283026008	1	Superficial injury of ear region (disorder)	Superficial injury of ear region
283033008	1	Superficial injury of forearm (disorder)	Superficial injury of forearm
283062009	1	Abrasion of lower limb (disorder)	Abrasion of lower limb
283344005	1	Mosquito bite (disorder)	Mosquito bite
283357002	1	Laceration of lower limb (disorder)	Laceration of lower limb
283359004	1	Laceration of forehead (disorder)	Laceration of forehead
283363006	1	Laceration of lip (disorder)	Laceration of lip
283366003	1	Laceration of upper limb (disorder)	Laceration of upper limb
283396008	1	Incised wound (disorder)	Incised wound
283497000	1	Puncture wound of skin (disorder)	Puncture wound of skin
283545005	1	Gunshot wound (disorder)	Gunshot wound
283682007	1	Bite - wound (disorder)	Bite - wound
283734005	1	Dog bite - wound (disorder)	Dog bite - wound
283782004	1	Cat bite - wound (disorder)	Cat bite - wound
283858004	1	Crush injury of thumb (disorder)	Crush injury of thumb
284034009	1	Pulse oximetry monitoring (regime/therapy)	Pulse oximetry monitoring
284181007	1	Incision and drainage of abscess (procedure)	Incision and drainage of abscess
284196006	1	Burn of skin (disorder)	Burn of skin
284220000	1	Burn of genitalia (disorder)	Burn of genitalia
284355001	1	Left ventricle anterior segment (body structure)	Left ventricle anterior segment
284356000	1	Left ventricle septal segment (body structure)	Left ventricle septal segment
284357009	1	Left ventricle inferior segment (body structure)	Left ventricle inferior segment
284358004	1	Left ventricle lateral segment (body structure)	Left ventricle lateral segment
284470004	1	Premature atrial contraction (disorder)	Premature atrial contraction
284523002	1	Persistent cough (finding)	Persistent cough
284531007	1	Finding relating to grieving and mourning (finding)	Finding relating to grieving and mourning
284532000	1	Myringotomy and insertion of tympanic ventilation tube (procedure)	Myringotomy and insertion of tympanic ventilation tube
284546000	1	Hospice (environment)	Hospice
284549007	1	Laceration of hand (disorder)	Laceration of hand
284591009	1	Persistent alcohol abuse (disorder)	Persistent alcohol abuse
284594001	1	Shouting (observable entity)	Shouting
284602001	1	Exposing self in public (finding)	Exposing self in public
284639000	1	Structure of umbilical portion of portal vein (body structure)	Structure of umbilical portion of portal vein
284648005	1	Dietary intake finding (finding)	Dietary intake finding
284655007	1	Dietary requirement finding (finding)	Dietary requirement finding
284670008	1	Nutritionally compromised (finding)	Nutritionally compromised
284775008	1	Unable to perform personal care activity (finding)	Unable to perform personal care activity
284781000	1	Unable to perform personal hygiene activity (finding)	Unable to perform personal hygiene activity
284784008	1	Difficulty performing personal hygiene activity (finding)	Difficulty performing personal hygiene activity
284799008	1	Unable to perform bathing activity (finding)	Unable to perform bathing activity
284972002	1	Difficulty performing dressing activity (finding)	Difficulty performing dressing activity
285033005	1	Ability to manage medication (observable entity)	Ability to manage medication
285038001	1	Difficulty managing medication (finding)	Difficulty managing medication
285045001	1	Difficulty using spectacles (finding)	Difficulty using spectacles
285055002	1	Does use hearing aid (finding)	Does use hearing aid
285058000	1	Finding relating to sexual activity (finding)	Finding relating to sexual activity
285059008	1	Injury of external ear (disorder)	Injury of external ear
285109002	1	Vaginal penetration using finger (finding)	Vaginal penetration using finger
285110007	1	Anal penetration using finger (finding)	Anal penetration using finger
285116001	1	Gender identity finding (finding)	Gender identity finding
285117005	1	Noisy environment (environment)	Noisy environment
285118000	1	Radioactive environment (environment)	Radioactive environment
285120002	1	Humid environment (environment)	Humid environment
285121003	1	Toxic environment (environment)	Toxic environment
285122005	1	Hot environment (environment)	Hot environment
285123000	1	Cold environment (environment)	Cold environment
285124006	1	Freezing environment (environment)	Freezing environment
285125007	1	Warm environment (environment)	Warm environment
285126008	1	Corrosive environment (environment)	Corrosive environment
285127004	1	Polluted environment (environment)	Polluted environment
285129001	1	Aquatic environment (environment)	Aquatic environment
285134002	1	Dangerous environment (environment)	Dangerous environment
285135001	1	Unhappy environment (environment)	Unhappy environment
285139007	1	Low risk environment (environment)	Low risk environment
285140009	1	At risk environment (environment)	At risk environment
285141008	1	Work environment (environment)	Work environment
285268002	1	Thoughts of sexual violence (finding)	Thoughts of sexual violence
285269005	1	Thoughts of raping (finding)	Thoughts of raping
285285000	1	Cobb angle (observable entity)	Cobb angle
285302001	1	Cyst of skin (disorder)	Cyst of skin
285304000	1	At risk of pressure ulcer (finding)	At risk of pressure ulcer
285310000	1	Carcinoma of anal canal (disorder)	Carcinoma of anal canal
285312008	1	Carcinoma of sigmoid colon (disorder)	Carcinoma of sigmoid colon
285348005	1	Strain of abdominal muscle (disorder)	Strain of abdominal muscle
285365001	1	Pain in toe (finding)	Pain in toe
285375003	1	Pain in penis (finding)	Pain in penis
285381006	1	Acute infective exacerbation of chronic obstructive airways disease (disorder)	Acute infective exacerbation of chronic obstructive airways disease
285384003	1	General health deterioration (finding)	General health deterioration
285387005	1	Left sided abdominal pain (finding)	Left sided abdominal pain
285425001	1	Upper deep cervical lymph node (body structure)	Upper deep cervical lymph node
285427009	1	Middle deep cervical lymph node (body structure)	Middle deep cervical lymph node
285429007	1	Lower deep cervical lymph node (body structure)	Lower deep cervical lymph node
285432005	1	Carcinoma of cervix (disorder)	Carcinoma of cervix
285570007	1	Taking of swab (procedure)	Taking of swab
285592006	1	Personal care activity (observable entity)	Personal care activity
285636001	1	Cervical intraepithelial neoplasia (disorder)	Cervical intraepithelial neoplasia
285645000	1	Disseminated malignancy of unknown primary (disorder)	Disseminated malignancy of unknown primary
285662005	1	Removal of plate from bone (procedure)	Removal of plate from bone
285663000	1	Removal of bone screw from bone (procedure)	Removal of bone screw from bone
285835004	1	Use of language (observable entity)	Use of language
285836003	1	Cervical intraepithelial neoplasia grade 1 (disorder)	Cervical intraepithelial neoplasia grade 1
285838002	1	Cervical intraepithelial neoplasia grade 2 (disorder)	Cervical intraepithelial neoplasia grade 2
285840007	1	Severely educationally subnormal (finding)	Severely educationally subnormal
285849008	1	Difficulty controlling anger (finding)	Difficulty controlling anger
286378009	1	Difficulty talking (finding)	Difficulty talking
286457005	1	Difficulty preparing food for eating (finding)	Difficulty preparing food for eating
286558002	1	Ureteric stent (physical object)	Ureteric stent
286576009	1	Urethral stent (physical object)	Urethral stent
286647002	1	Low self-esteem (finding)	Low self-esteem
286650004	1	Lacking belief in own ability (finding)	Lacking belief in own ability
286738000	1	Removal of urinary catheter (procedure)	Removal of urinary catheter
286756000	1	Impulsive character (finding)	Impulsive character
286850002	1	Personal hygiene activities, function (observable entity)	Personal hygiene activities
286851003	1	Activities for washing and drying self, function (observable entity)	Activities for washing and drying self
286852005	1	Washing self, function (observable entity)	Washing self
286854006	1	Hair care activities, function (observable entity)	Hair care activities
286855007	1	Nail care activities, function (observable entity)	Nail care activities
286857004	1	Ex-problem drinker (finding)	Ex-problem drinker
286866000	1	Mouth closed (finding)	Mouth closed
286895009	1	Carcinoma of breast - upper, outer quadrant (disorder)	Carcinoma of breast - upper, outer quadrant
286933003	1	Confusional state (disorder)	Confusional state
286959000	1	Peripheral arterial embolism (disorder)	Peripheral arterial embolism
286992006	1	Dyspareunia - non-psychogenic (finding)	Dyspareunia - non-psychogenic
287001000	1	Cellulitis of leg, excluding foot (disorder)	Cellulitis of leg, excluding foot
287007001	1	Rheumatoid arthritis of hand joint (disorder)	Rheumatoid arthritis - hand joint
287021004	1	Synovitis/tenosynovitis - knee (disorder)	Synovitis/tenosynovitis - knee
287057009	1	Atrial premature complex (disorder)	Atrial premature complex
287065007	1	Pathological fracture - upper arm (disorder)	Pathological fracture - upper arm
287272002	1	Enlarged septal foramen of heart (disorder)	Enlarged septal foramen of heart
287310004	1	Lung tumor excision (procedure)	Lung tumor excision
287572003	1	Diagnostic aspiration of breast cyst (procedure)	Diagnostic aspiration of breast cyst
287664005	1	Bilateral tubal ligation (procedure)	Bilateral tubal ligation
287977004	1	Dilation/incision of cervix - delivery aid (procedure)	Dilation/incision of cervix - delivery aid
288042004	1	Hysterectomy and fetus removal (procedure)	Hysterectomy and fetus removal
288043009	1	Hysterectomy in pregnancy (procedure)	Hysterectomy in pregnancy
288161003	1	Orthopedic device application (procedure)	Orthopedic device application
288189000	1	Induction of labor by intravenous injection (procedure)	Induce labor - IV injection
288193006	1	Supervision - normal delivery (procedure)	Supervision - normal delivery
288203005	1	Transverse/oblique lie (finding)	Transverse/oblique lie
288250001	1	Maternal hypertension (disorder)	Maternal hypertension
288252009	1	Maternal infection (situation)	Maternal infection
288270007	1	Post-term infant - 42 weeks plus (finding)	Post-term infant - 42 weeks plus
288296009	1	Fall - collision/push/shove (event)	Fall - collision/push/shove
288300005	1	Ultraviolet exposure accident (event)	Ultraviolet exposure accident
288325001	1	General purpose physical activity (observable entity)	General purpose physical activity
288328004	1	Bee venom (substance)	Bee venom
288534005	1	Functions related to communication (observable entity)	Functions related to communication
288543001	1	Self-expression, function (observable entity)	Self-expression
288544007	1	Communicating feelings, function (observable entity)	Communicating feelings
288546009	1	Lower alveolar ridge structure (body structure)	Lower alveolar ridge structure
288563008	1	After values (qualifier value)	After values
288564002	1	Review procedure (qualifier value)	Review procedure
288620004	1	Difficulty using grammatical constructions (finding)	Difficulty using grammatical constructions
288723005	1	Acute ill-defined cerebrovascular disease (disorder)	Acute ill-defined cerebrovascular disease
288848001	1	Able to breathe (finding)	Able to breathe
288849009	1	Unable to breathe (finding)	Unable to breathe
288939007	1	Difficulty swallowing (finding)	Difficulty swallowing
289081008	1	Unable to perform breast-feeding (finding)	Unable to perform breast-feeding
289084000	1	Difficulty performing breast-feeding (finding)	Difficulty performing breast-feeding
289122001	1	Cosmetic material (substance)	Cosmetic material
289138007	1	Always has breakfast (finding)	Always has breakfast
289140002	1	Finding of regularity of eating (finding)	Finding of regularity of eating
289141003	1	Eats regularly (finding)	Eats regularly
289151002	1	Finding of drinking pattern (finding)	Finding of drinking pattern
289152009	1	Finding of frequency of drinking (finding)	Finding of frequency of drinking
289153004	1	Finding of quantity of drinking (finding)	Finding of quantity of drinking
289170007	1	Retrieving food from buccal sulcus (observable entity)	Retrieving food from buccal sulcus
289171006	1	Initiation of swallowing reflex (observable entity)	Initiation of swallowing reflex
289195008	1	Slurred speech (finding)	Slurred speech
289259007	1	Vaginal delivery (finding)	Vaginal delivery
289260002	1	Epigastric hernia (disorder)	Epigastric hernia
289431008	1	Fetal movements present (finding)	Fetal movements present
289439005	1	Fetal heart rate absent (finding)	Fetal heart rate absent
289474006	1	Lesion of vulva (finding)	Lesion of vulva
289477004	1	Mass of vulva (finding)	Mass of vulva
289517005	1	Vaginal lesion (finding)	Vaginal lesion
289530006	1	Bleeding from vagina (finding)	Vaginal bleeding
289560001	1	Profuse vaginal discharge (finding)	Profuse vaginal discharge
289572007	1	No liquor observed vaginally (finding)	No liquor observed vaginally
289794001	1	Lesion of cervix (finding)	Lesion of cervix
289887006	1	Finding of frequency of menstruation (finding)	Finding of frequency of menstruation
289892008	1	Short menstrual cycle (finding)	Short menstrual cycle
289894009	1	Menstrual bleeding present (finding)	Menstrual bleeding present
289900009	1	Period pain present (finding)	Period pain present
289903006	1	Menopause present (finding)	Menopause present
289917002	1	History of bladder neoplasm (situation)	History of bladder neoplasm
289922002	1	Mass of ovary (finding)	Mass of ovary
289925000	1	Waste material (substance)	Waste material
289949002	1	Cypress pollen (substance)	Cypress pollen
290002008	1	Brittle type I diabetes mellitus (finding)	Brittle type 1 diabetes mellitus
290006006	1	Photon (substance)	Photon
290069002	1	Discoloration of skin of breast (finding)	Discoloration of skin of breast
290084006	1	Breast normal (finding)	Breast normal
290085007	1	Breast problem (finding)	Breast problem
290113009	1	Bloody nipple discharge (disorder)	Bloody nipple discharge
290119008	1	Nipple problem (finding)	Nipple problem
290439001	1	Familial obesity (disorder)	Familial obesity
292094009	1	Radiopharmaceutical adverse reaction (disorder)	Radiopharmaceutical adverse reaction
292095005	1	Contrast media adverse reaction (disorder)	Contrast media adverse reaction
292196008	1	Antineoplastic adverse reaction (disorder)	Antineoplastic adverse reaction
292327002	1	Phenytoin adverse reaction (disorder)	Phenytoin adverse reaction
292799005	1	Anti-infectives adverse reaction (disorder)	Anti-infectives adverse reaction
292954005	1	Penicillin adverse reaction (disorder)	Penicillin adverse reaction
293104008	1	Adverse reaction to vaccine product (disorder)	Adverse reaction to vaccine product
293331003	1	Anticoagulant adverse reaction (disorder)	Anticoagulant adverse reaction
293495006	1	Antihypertensive adverse reaction (disorder)	Antihypertensive adverse reaction
293507007	1	Enalapril adverse reaction (disorder)	Enalapril adverse reaction
293586001	1	Allergy to aspirin (finding)	Allergy to aspirin
293637006	1	Allergy to contrast media (finding)	Allergy to contrast media
294505008	1	Allergy to amoxicillin (finding)	Allergy to amoxicillin
294913003	1	Allergy to iodine compound (finding)	Allergy to iodine compound
295124009	1	Acetaminophen overdose (disorder)	Acetaminophen overdose
296053004	1	Benzodiazepine overdose (disorder)	Benzodiazepine overdose
297120004	1	Anesthetic face mask (physical object)	Anesthetic face mask
297128006	1	Nuchal pain (finding)	Nuchal pain
297142003	1	Foot swelling (finding)	Foot swelling
297147009	1	Atrophy of vagina (disorder)	Atrophy of vagina
297160003	1	Left ventricular aneurysm (disorder)	Left ventricular aneurysm
297171002	1	Cervicothoracic region of spine structure (body structure)	Cervicothoracic region of spine structure
297172009	1	Thoracolumbar region of spine structure (body structure)	Thoracolumbar region of spine structure
297173004	1	Lumbosacral region of spine structure (body structure)	Lumbosacral region of spine structure
297174005	1	Sacrococcygeal region of spine structure (body structure)	Sacrococcygeal region of spine structure
297186008	1	Motorcycle accident (event)	Motorcycle accident
297193007	1	Ganglion of hand (disorder)	Ganglion of hand
297194001	1	Ganglion of foot (disorder)	Ganglion of foot
297216006	1	Increasing breathlessness (finding)	Increasing breathlessness
297217002	1	Rib pain (finding)	Rib pain
297242006	1	Family history of ischemic heart disease (situation)	Family history of ischemic heart disease
297247000	1	Family history of neoplasm of lung (situation)	Family history of neoplasm of lung
297279009	1	Steroid therapy (procedure)	Administration of steroid
297709009	1	Open acromioplasty for decompression of rotator cuff (procedure)	Open acromioplasty for decompression of rotator cuff
297713002	1	Varicose veins of lower extremity without ulcer AND without inflammation (disorder)	Varicose veins of lower extremity without ulcer AND without inflammation
297946004	1	Lower limb nerve lesion (disorder)	Lower limb nerve lesion
297960002	1	Mass of skin (finding)	Mass of skin
297982009	1	Skin problem (finding)	Skin problem
297989000	1	Nail problem (finding)	Nail problem
298012000	1	Wound pain (finding)	Wound pain
298083004	1	Foreign body of skin of finger (disorder)	Foreign body of skin of finger
298162008	1	Shoulder joint inflamed (finding)	Shoulder joint inflamed
298164009	1	Wrist joint inflamed (finding)	Wrist joint inflamed
298165005	1	Hand joint inflamed (finding)	Hand joint inflamed
298167002	1	Finger joint inflamed (finding)	Finger joint inflamed
298169004	1	Hip joint inflamed (finding)	Hip joint inflamed
298171004	1	Ankle joint inflamed (finding)	Ankle joint inflamed
298172006	1	Foot joint inflamed (finding)	Foot joint inflamed
298181000	1	Range of joint movement increased (finding)	Range of joint movement increased
298222004	1	Active range of joint movement reduced (finding)	Active range of joint movement reduced
298282001	1	Spastic quadriparesis (disorder)	Spastic tetraparesis
298336006	1	No motor response to command (finding)	No motor response to command
298344006	1	Elderly fall (finding)	Elderly fall
298349001	1	Soft tissue swelling (finding)	Soft tissue swelling
298375002	1	Tenderness of temporomandibular joint (finding)	Tenderness of temporomandibular joint
298376001	1	Temporomandibular joint painful on movement (finding)	Temporomandibular joint painful on movement
298382003	1	Scoliosis deformity of spine (disorder)	Scoliosis deformity of spine
298494008	1	Scoliosis of thoracic spine (disorder)	Scoliosis of thoracic spine
298591003	1	Scoliosis of lumbar spine (disorder)	Scoliosis of lumbar spine
298731003	1	Pain of sternum (finding)	Pain of sternum
298772001	1	Shoulder joint deformity (finding)	Shoulder joint deformity
298854003	1	Shoulder joint unstable (finding)	Shoulder joint unstable
298924009	1	Elbow joint unstable (finding)	Elbow joint unstable
299033004	1	Deformity of hand (finding)	Deformity of hand
299037003	1	Swelling of hand (finding)	Swelling of hand
299042006	1	Weakness of hand (finding)	Weakness of hand
299060006	1	Swelling of finger (finding)	Swelling of finger
299228008	1	Internal tibial torsion (finding)	Internal tibial torsion
299233007	1	Deformity of hip joint (finding)	Deformity of hip joint
299328006	1	Deformity of knee joint (finding)	Deformity of knee joint
299478007	1	Foot problem (finding)	Foot problem
299647001	1	Amputated above knee (finding)	Amputated above knee
299698007	1	Feeding poor (finding)	Feeding poor
299699004	1	Infective conjunctivitis (disorder)	Infective conjunctivitis
299703001	1	Mass of neck (finding)	Mass of neck
299704007	1	Lump on face (finding)	Lump on face
299709002	1	Dental abscess (disorder)	Dental abscess
299711006	1	Entire distal phalanx (body structure)	Entire distal phalanx
299716001	1	Iliac and/or femoral artery structures (body structure)	Iliac and/or femoral artery structures
299960009	1	Nervous system problem (finding)	Nervous system problem
299971005	1	Insect sting (disorder)	Insect sting
299973008	1	Plant sting (disorder)	Plant sting
299989006	1	Infection of toe (disorder)	Infection of toe
299990002	1	Infection of foot (disorder)	Infection of foot
299991003	1	Infection of finger (disorder)	Infection of finger
299993000	1	Structure of mesenteric artery lymph node (body structure)	Structure of mesenteric artery lymph node
300004007	1	Screening for osteoporosis (procedure)	Screening for osteoporosis
300007000	1	Screening for cardiovascular system disease (procedure)	Screening for cardiovascular system disease
300009002	1	Removal of acoustic neuroma (procedure)	Removal of acoustic neuroma
300069000	1	Fusion of vulva (finding)	Fusion of vulva
300092000	1	Lesion of external ear (disorder)	Lesion of external ear
300132001	1	Ear discharge (finding)	Ear discharge
300197009	1	Ear problem (finding)	Ear problem
300228004	1	Hearing problem (finding)	Hearing problem
300241000	1	Finding of appearance of oral mucosa (finding)	Finding of appearance of oral mucosa
300246005	1	Lesion of tongue (finding)	Lesion of tongue
300331000	1	Lesion of liver (finding)	Lesion of liver
300332007	1	Liver mass (finding)	Liver mass
300359004	1	Finding of vomiting (finding)	Finding of vomiting
300381009	1	Frequent defecation (finding)	Frequent defecation
300457003	1	Lesion of bladder (finding)	Lesion of bladder
300492006	1	Lesion of testis (finding)	Lesion of testis
300513000	1	Lesion of penis (finding)	Lesion of penis
300525002	1	Able to get an erection (finding)	Able to get an erection
300526001	1	Finding of ejaculation (finding)	Finding of ejaculation
300545005	1	Finding of sexual arousal (finding)	Finding of sexual arousal
300548007	1	Able to have sexual intercourse (finding)	Able to have sexual intercourse
300549004	1	Unable to have sexual intercourse (finding)	Unable to have sexual intercourse
300550004	1	Finding of orgasm (finding)	Finding of orgasm
300571009	1	Finding of gestational sac (finding)	Finding of gestational sac
300574001	1	Community living activity (observable entity)	Community living activity
300577008	1	Finding of lesion (finding)	Finding of lesion
300589005	1	Excision of sebaceous cyst (procedure)	Excision of sebaceous cyst
300686005	1	Difficulty managing personal financial activities (finding)	Difficulty managing personal financial activities
300692004	1	Difficulty with money management (finding)	Difficulty with money management
300706003	1	Endogenous depression (disorder)	Endogenous depression
300723007	1	Difficulty performing shopping activities (finding)	Difficulty performing shopping activities
300777006	1	Does not play (finding)	Does not play
300809003	1	Ability to undertake voluntary work (observable entity)	Ability to undertake voluntary work
300810008	1	Able to undertake voluntary work (finding)	Able to undertake voluntary work
300811007	1	Unable to undertake voluntary work (finding)	Unable to undertake voluntary work
300812000	1	Difficulty undertaking voluntary work (finding)	Difficulty undertaking voluntary work
300841009	1	Poorly defined (qualifier value)	Poorly defined
300842002	1	Shape (attribute)	Shape
300848003	1	Mass of body structure (finding)	Mass of body structure
300855001	1	Mass of digestive structure (finding)	Mass of digestive structure
300863000	1	Mass of axilla (finding)	Mass of axilla
300894000	1	Parental anxiety (finding)	Parental anxiety
300895004	1	Anxiety attack (finding)	Anxiety attack
300916003	1	Allergy to latex (finding)	Allergy to latex
300920004	1	Carotid atherosclerosis (disorder)	Carotid atherosclerosis
300921000	1	Subclavian artery stenosis (disorder)	Subclavian artery stenosis
300928006	1	Vegetarian (finding)	Vegetarian
300936002	1	Terminal illness (finding)	Terminal illness
300939009	1	Abstinent alcoholic (finding)	Abstinent alcoholic
300950007	1	Infected hand (disorder)	Infected hand
300953009	1	Pain in axilla (finding)	Pain in axilla
300954003	1	Pain in calf (finding)	Pain in calf
300955002	1	Pain in thumb (finding)	Pain in thumb
300956001	1	Low back strain (disorder)	Low back strain
300979000	1	Caregiver stress syndrome (disorder)	Caregiver stress syndrome
300980002	1	Normocytic anemia (disorder)	Normocytic anemia
300984006	1	Skin ulcer of calf (disorder)	Skin ulcer of calf
300995000	1	Exercise-induced angina (disorder)	Exercise-induced angina
300996004	1	Controlled atrial fibrillation (disorder)	Controlled atrial fibrillation
301000005	1	Left lower zone pneumonia (disorder)	Left lower zone pneumonia
301001009	1	Right lower zone pneumonia (disorder)	Right lower zone pneumonia
301021005	1	Ulcer of toe (disorder)	Ulcer of toe
301022003	1	Ulcer of heel (disorder)	Ulcer of heel
301034006	1	Fracture of greater trochanter (disorder)	Fracture of greater trochanter
301061006	1	Stenosis of external auditory canal (disorder)	Stenosis of external auditory canal
301099004	1	Aortic valve finding (finding)	Aortic valve finding
301100007	1	Aortic valve normal (finding)	Aortic valve normal
301101006	1	Mitral valve finding (finding)	Mitral valve finding
301103009	1	Mitral valve normal (finding)	Mitral valve normal
301104003	1	Pulmonary valve finding (finding)	Pulmonary valve finding
301121007	1	Myocardial perfusion normal (finding)	Myocardial perfusion normal
301123005	1	Pericardial finding (finding)	Pericardial finding
301183007	1	Bacterial endocarditis (disorder)	Bacterial endocarditis
301184001	1	Aortic valve vegetations (disorder)	Aortic valve vegetations
301185000	1	Mitral valve vegetations (disorder)	Mitral valve vegetations
301191003	1	Lesion of nose (finding)	Lesion of nose
301202006	1	Nasal sinus problem (finding)	Nasal sinus problem
301218000	1	Lesion of vocal cord (finding)	Lesion of vocal cord
301232003	1	Lesion of lung (finding)	Lesion of lung
301273002	1	Abnormal breath sounds (finding)	Abnormal breath sounds
301331008	1	Finding of body mass index (finding)	Finding of body mass index
301336003	1	Body weight problem (finding)	Body weight problem
301343009	1	Temperature-associated finding (finding)	Temperature-associated finding
301345002	1	Difficulty sleeping (finding)	Difficulty sleeping
301350008	1	Lesion of lip (finding)	Lesion of lip
301355003	1	Pain of respiratory structure (finding)	Pain of respiratory structure
301358001	1	Pain of cardiovascular structure (finding)	Pain of cardiovascular structure
301364008	1	Pain of skin (finding)	Pain of skin
301367001	1	Right hypochondrial pain (finding)	Right hypochondrial pain
301368006	1	Left hypochondrial pain (finding)	Left hypochondrial pain
301379001	1	No present pain (finding)	No present pain
301439009	1	Moving in the environment (observable entity)	Moving in the environment
301460003	1	Ingrowing eyelash (disorder)	Ingrowing eyelash
301466009	1	Education and training activity (observable entity)	Education and training activity
301468005	1	Educational activities, function (observable entity)	Educational activities
301701000	1	Getting on and off furniture (observable entity)	Getting on and off furniture
301702007	1	Getting on and off a bed, function (observable entity)	Getting on and off a bed
301705009	1	Occupation and employment activity (observable entity)	Occupation and employment activity
301706005	1	Abscess of foot (disorder)	Abscess of foot
301715003	1	Left upper quadrant pain (finding)	Left upper quadrant pain
301716002	1	Left lower quadrant pain (finding)	Left lower quadrant pain
301717006	1	Right upper quadrant pain (finding)	Right upper quadrant pain
301754002	1	Right lower quadrant pain (finding)	Right lower quadrant pain
301766008	1	Lesion of brain (finding)	Lesion of brain
301777002	1	Neck swelling (finding)	Neck swelling
301779004	1	Anal inflammation (disorder)	Anal inflammation
301802001	1	Loin abscess (disorder)	Loin abscess
301813003	1	Irritable hip (disorder)	Irritable hip
301822002	1	Abnormal vaginal bleeding (finding)	Abnormal vaginal bleeding
301846009	1	Empty nest syndrome (finding)	Empty nest syndrome
301864002	1	Transient synovitis of hip (disorder)	Transient synovitis of hip
301877006	1	Injection of steroid into knee joint (procedure)	Injection of steroid into knee joint
301887005	1	Needs assistance at home (finding)	Needs assistance at home
301889008	1	Excision of malignant skin tumor (procedure)	Excision of malignant skin tumor
301890004	1	Excision of skin cyst (procedure)	Excision of skin cyst
301913002	1	Lesion of eyelid (finding)	Lesion of eyelid
301926003	1	Conjunctiva normal (finding)	Conjunctiva normal
301928002	1	Central corneal epithelial staining pattern (finding)	Central corneal epithelial staining pattern
301929005	1	Peripheral corneal epithelial staining pattern (finding)	Peripheral corneal epithelial staining pattern
301936006	1	Anterior chamber of eye normal (finding)	Anterior chamber of eye normal
301939004	1	Constricted pupil (finding)	Constricted pupil
302081005	1	Finding of sex of baby (finding)	Finding of sex of baby
302109006	1	Gastrostomy present (finding)	Gastrostomy present
