nct_id,overall_status,plan_to_share_ipd,plan_to_share_ipd_description,study_type,phase,study_first_submitted_date,official_title,enrollment,enrollment_type,primary_completion_month_year,primary_completion_date_type
NCT03499795,Recruiting,NA,NA,Interventional,Phase 2,2018-04-09,"A Phase 2, Open Label, Study of VGX-3100 Delivered Intramuscularly (IM) Followed by Electroporation (EP) for the Treatment of HPV-16 and/or HPV-18 Related Anal or Anal/Peri-Anal, High Grade Squamous Intraepithelial Lesion (HSIL), (AIN2, AIN3, PAIN2, PAIN3) in Individuals That Are Seronegative for Human Immunodeficiency Virus (HIV)-1/2",24,Anticipated,August 2020,Anticipated
NCT03497676,Not yet recruiting,NA,NA,Interventional,Phase 1/Phase 2,2018-04-06,"Phase I/II Study of the Safety, Acceptability, Tolerability, and Pharmacokinetics of Oral and Long-Acting Injectable Cabotegravir and Long-Acting Injectable Rilpivirine in Virologically Suppressed HIV-Infected Children and Adolescents",155,Anticipated,April 2021,Anticipated
NCT03489109,Recruiting,NA,NA,Interventional,Phase 1,2018-04-04,2-5 Intermittent Caloric Restriction for Weight Loss and Insulin Resistance in HIV-Infected Adults With Features of the Metabolic Syndrome,100,Anticipated,"January 31, 2022",Anticipated
NCT03485963,Recruiting,NA,NA,Interventional,Phase 1,2018-03-27,"A Phase I Study to Evaluate the Safety, Immunologic, and Virologic RESponses of HIV-Specific T-cells With Non-escaped Epitope Targeting (HST-NEETs) as a Therapeutic Strategy in HIV-Infected Individuals on Antiretroviral Therapy During Acute And Chronic Infection",12,Anticipated,July 2021,Anticipated
NCT03472963,Recruiting,NA,NA,Interventional,Phase 1,2018-03-15,Body Compartment Pharmacokinetics of Anti-retroviral Agents That May be Used for Future HIV Post-exposure Prophylaxis Regimens.,58,Anticipated,"January 15, 2019",Anticipated
NCT03462810,Available,NA,NA,Expanded Access,NA,2018-03-05,"GSK1265744 (Cabotegravir, CAB) for Named Patient/Compassionate Use in HIV",NA,NA,NA,NA
NCT03416881,Completed,NA,NA,Observational,NA,2017-11-09,Older HIV-infected Adults and Drug Interactions: Nationwide Cross-sectional Study Based on French National Health Insurance Databases,13225,Actual,"December 31, 2016",Actual
NCT03408899,Not yet recruiting,NA,NA,Interventional,Phase 1,2018-01-18,A Phase 1 Safety and Pharmacokinetic Study of PC-1005 (MIV-150/Zinc Acetate/Carrageenan Gel) Administered Rectally to HIV-1 Seronegative Adults,12,Anticipated,May 2019,Anticipated
NCT03408106,Recruiting,NA,NA,Observational,NA,2018-01-17,Prospective Clinical Trial of HIV+ Living Donor Kidney Donation for HIV+ Recipients,20,Anticipated,"August 1, 2022",Anticipated
NCT03407105,Completed,NA,NA,Interventional,Phase 1,2018-01-17,"A Phase I, Open-Label, Dose-Escalation Study of MDX-010 Administered Monthly as Immunotherapy in Subjects Infected With Human Immunodeficiency Virus",24,Actual,"February 21, 2006",Actual
NCT03402815,Completed,NA,NA,Interventional,Phase 4,2018-01-10,Efficacy of Maraviroc in Modulating Atherosclerosis in HIV Patients.,22,Actual,"April 30, 2017",Actual
NCT03400293,Recruiting,NA,NA,Observational,NA,2018-01-10,RISE: Real World Insights of People Living With HIV Shared Through Electronic Devices,3000,Anticipated,"June 30, 2018",Anticipated
NCT03393468,Not yet recruiting,NA,NA,Interventional,Phase 1,2018-01-02,An Open Label Randomized Phase 1 Pharmacokinetic Study of Dapivirine Gel Administered Rectally to HIV-1 Seronegative Adults,16,Anticipated,February 2019,Anticipated
NCT03387150,Recruiting,NA,NA,Interventional,Phase 1,2017-12-21,"A Multicenter, Randomized, Partially Blinded Phase 1 Clinical Trial to Evaluate the Safety and Serum Concentrations of a Human Monoclonal Antibody, VRC-HIVMAB075-00-AB (VRC07-523LS), Administered in Multiple Doses and Routes to Healthy, HIV-uninfected Adults",124,Anticipated,"July 31, 2021",Anticipated
NCT03386578,Not yet recruiting,NA,NA,Interventional,Phase 2,2017-12-18,"Pharmacokinetics, Feasibility, Acceptability, and Safety of Oral Pre-Exposure Prophylaxis for Primary HIV Prevention During Pregnancy and Postpartum in Adolescents and Young Women and Their Infants",390,Anticipated,July 2021,Anticipated
NCT03382834,Recruiting,NA,NA,Interventional,Early Phase 1,2017-12-19,Selective Estrogen Receptor Modulators to Enhance the Efficacy of Viral Reactivation With Histone Deacetylase Inhibitors,30,Anticipated,"November 15, 2019",Anticipated
NCT03382418,Recruiting,NA,NA,Interventional,Phase 1,2017-12-11,"A Phase 1 Double-Blind, Randomized Clinical Trial to Evaluate the Safety and Immunogenicity of a Recombinant Oligomeric gp145 Clade C Env Protein (gp145 C.6980) in Healthy, HIV-1-Uninfected Adult Participants in the US",45,Anticipated,"May 15, 2019",Anticipated
NCT03369249,Enrolling by invitation,NA,NA,Interventional,N/A,2017-11-30,Health and Justice: A Continuum of Care for HIV and SU for Justice-Involved Young Adults (PHASE 2),465,Anticipated,November 2020,Anticipated
NCT03362476,Recruiting,NA,NA,Interventional,N/A,2017-11-30,Computer-based Alcohol Reduction Intervention for Alcohol-using HIV/HCV+ Russian Women in Clinical Care,250,Anticipated,"February 29, 2020",Anticipated
NCT03348163,Recruiting,NA,NA,Interventional,Phase 4,2017-11-08,"Bictegravir, Emtricitabine and Tenofovir Alafenamide in Transwomen for Optimization of ART: The (mo)BETTA Trial",48,Anticipated,"April 1, 2020",Anticipated
NCT03337906,Completed,NA,NA,Observational,NA,2017-11-07,A Descriptive and Observational Study of Long-term Outcomes of HIV-1 Infection in Persons Who Become HIV-1 Infected After Enrollment in HIV-1 Vaccine Trials,209,Actual,"July 11, 2015",Actual
NCT03327740,"Active, not recruiting",NA,NA,Observational,NA,2017-10-27,A Prospective Observational Cohort Study to Monitor and Compare the Occurrence of Hypersensitivity Reaction and Hepatotoxicity in Patients Receiving Dolutegravir (With and Without Abacavir) or Other Integrase Inhibitors (With or Without Abacavir),1,Anticipated,"June 30, 2019",Anticipated
NCT03320239,Recruiting,NA,NA,Interventional,N/A,2017-10-17,Using HIV Risk Assessment Tool to Promote HIV Testing Among Men Who Have Sex With Men in Beijing: a Social Media-based Randomized Trial,4500,Anticipated,May 2018,Anticipated
NCT03310515,Recruiting,NA,NA,Observational,NA,2017-09-21,A Cohort Study to Determine the Incidence of HIV-1 Infection in HIV-1 Uninfected High Risk Participants Who Are Male Sex at Birth and Have Sex With Men,500,Anticipated,"February 28, 2019",Anticipated
NCT03307915,Recruiting,NA,NA,Interventional,Phase 1,2017-09-25,"A Safety, Tolerability and Immunogenicity Study of 2 Different Regimens of Tetravalent Ad26.Mos4.HIV Prime Followed by Boost With MVA-Mosaic OR Ad26.Mos4.HIV Plus a Combination of Mosaic and Clade C gp140 Protein in HIV-1 Infected Adults on Suppressive ART",26,Anticipated,"February 19, 2020",Anticipated
NCT03298360,Not yet recruiting,NA,NA,Observational,NA,2017-09-20,"A Chronological Study of the Formation of HIV Cellular Reservoirs Through the Expression of Surface Markers on CD4 + T Lymphocytes, Including CD32a",21,Anticipated,"March 1, 2019",Anticipated
NCT03296202,Recruiting,NA,NA,Observational,NA,2017-06-23,"Risk of Morbidity, Mortality and Long-term Monitoring of Antiretroviral Treatment in People Living With HIV: The ANRS CO3 Aquitaine Cohort",4500,Anticipated,July 2021,Anticipated
NCT03293290,Recruiting,NA,NA,Interventional,Phase 1,2017-09-20,Project EMPOWERING: Evidence-based PrEP for Justice-Involved Women and Their Risk Networks,100,Anticipated,"June 30, 2019",Anticipated
NCT03292913,Recruiting,NA,NA,Interventional,N/A,2017-09-21,Positive Health Check Evaluation Trial,1010,Anticipated,"July 20, 2020",Anticipated
NCT03290391,Not yet recruiting,NA,NA,Interventional,N/A,2017-09-19,Linking Infectious and Narcology Care-Part II,240,Anticipated,August 2021,Anticipated
NCT03271424,Completed,NA,NA,Interventional,N/A,2017-08-31,Innovations in HIV Testing to Enhance Care for Young Women and Their Peers and Partners,95,Actual,"June 1, 2016",Actual
NCT03256422,"Active, not recruiting",NA,NA,Interventional,Phase 3,2017-08-09,"Randomized, Open-label and Multicentric Trial Evaluating the Non-inferiority of Antiretroviral Treatment Taken 4 Consecutive Days Per Week Versus Continuous Therapy 7/7 Days Per Week in HIV-1 Infected Patients With Controlled Viral Load Under Antiretroviral Therapy",640,Anticipated,December 2019,Anticipated
NCT03239899,Recruiting,NA,NA,Interventional,Phase 1,2017-08-03,PD-1 Inhibition to Determine CNS Reservoir of HIV-Infection,17,Anticipated,"December 31, 2019",Anticipated
NCT03239483,Recruiting,NA,NA,Interventional,Phase 1,2017-08-02,"A Randomized, Double Blind, Placebo-Controlled, Phase 1 Safety and Pharmacokinetic Study of Dapivirine Gel (0.05%) Administered Rectally to HIV-1 Seronegative Adults",27,Anticipated,October 2018,Anticipated
NCT03238755,Recruiting,NA,NA,Observational,NA,2017-08-01,Mechanisms of Cardiac Dysfunction in HIV and the Effect of Statins: A Cardiac MRI Study,130,Anticipated,July 2020,Anticipated
NCT03235518,Recruiting,NA,NA,Observational,NA,2017-07-28,A Combination HIV Prevention Strategy for Young Women at Risk for HIV,340,Anticipated,"December 28, 2017",Anticipated
NCT03234036,Completed,NA,NA,Interventional,Phase 1,2017-07-26,A Two Part Study to Assess i) the Relative Bioavailability and Food Effect of a Novel Tablet Formulation of Boosted-GSK2838232 Compared to Capsule and ii) the Safety and Pharmacokinetics of Repeated Once-Daily Doses of Non-boosted GSK2838232,26,Actual,"November 10, 2017",Actual
NCT03231943,Recruiting,NA,NA,Interventional,Phase 1,2017-07-24,"A Double-Blind (Sponsor Unblinded), Randomized, Placebo-Controlled, Single and Repeated Dose Escalation Study to Investigate the Safety, Tolerability and Pharmacokinetics of GSK3640254 in Healthy Participants",80,Anticipated,"June 25, 2018",Anticipated
NCT03227861,"Active, not recruiting",NA,NA,Interventional,Phase 3,2017-07-21,"A Phase 3, Single-arm, Open-label Study to Evaluate the Efficacy and Safety of Darunavir/ Cobicistat/ Emtricitabine/ Tenofovir Alafenamide (D/C/F/TAF) Once Daily Fixed-dose Combination (FDC) Regimen in Newly Diagnosed, Antiretroviral Treatment-naÃ¯ve Human Immunodeficiency Virus Type 1 (HIV-1) Infected Subjects Receiving Care in a Test and Treat Model of Care",109,Actual,"December 31, 2018",Anticipated
NCT03226821,Recruiting,NA,NA,Interventional,Phase 4,2017-07-20,Body Composition and Adipose Tissue in HIV Lipodystrophy: Effects of Tesamorelin Therapy,24,Anticipated,"April 30, 2021",Anticipated
NCT03226379,Recruiting,NA,NA,Observational,NA,2017-05-31,Integrating the Diagnosis and Management of HIV-associated Central Nervous System (CNS) Infections Into Routine Health Services in Low and Middle Income Countries (LMICs),450,Anticipated,October 2019,Anticipated
NCT03220724,Recruiting,NA,NA,Interventional,Phase 1,2017-07-12,"A Phase 1 Clinical Trial to Evaluate the Safety and Immunogenicity of EnvSeq-1 Envs Adjuvanted With GLA-SE, Administered Alone or With DNA Mosaic-Tre Env, in Healthy, HIV-Uninfected Adult Participants",132,Anticipated,December 2020,Anticipated
NCT03218839,Completed,NA,NA,Interventional,N/A,2014-12-05,"Evaluation of Safety, Efficacy and Acceptability of the PrePexTM Device for Rapid Scale-up of Adult Male Circumcision Programs in Zimbabwe, Phase III PrePexTM Field Implementation Trial With HIV Positive Adult Males",430,Actual,February 2016,Actual
NCT03215004,Recruiting,NA,NA,Observational,NA,2017-07-07,Developing a Functional Cure for HIV Disease: Clinical Specimen Collection From HIV Positive Individuals,24,Anticipated,July 2018,Anticipated
NCT03205917,Recruiting,NA,NA,Interventional,Phase 1,2017-05-12,"A Phase 1 Randomized Placebo-controlled Clinical Trial of the Safety, Pharmacokinetics and Antiviral Activity of PGDM1400 and PGT121 Monoclonal Antibodies in HIV-uninfected and HIV-infected Adults",60,Anticipated,July 2019,Anticipated
NCT03198962,Recruiting,NA,NA,Observational,NA,2017-06-22,Use of Amphetamine-type Stimulants and Its Relationship With HIV Incidence and Antiretroviral Adherence Among Thai Men Who Have Sex With Men and Transgender Women,510,Anticipated,"November 15, 2020",Anticipated
NCT03191175,Recruiting,NA,NA,Observational,NA,2017-06-14,Residual Immune Activation in HIV-infected Patients on Successful cART: Association Between Inflammasome Activation in Monocytes by Circulating Metabolites and Non AIDS Defining Comorbidities,50,Anticipated,January 2019,Anticipated
NCT03181789,Recruiting,NA,NA,Interventional,Phase 1,2017-06-06,"A Phase 1 Clinical Trial to Evaluate the Safety and Immunogenicity of pDNA Vaccines Expressing HIV M Group p24^Gag Conserved Elements and/or p55^Gag, Administered With IL-12 pDNA by Intramuscular Electroporation, in Healthy, HIV-Uninfected Adult Participants",56,Anticipated,October 2019,Anticipated
NCT03164447,Not yet recruiting,NA,NA,Interventional,Phase 2/Phase 3,2017-05-21,"A Multicenter, Randomized, Parallel-Arm, 24-Week Study of UB-421 in Combination With Optimized Background Therapy (OBT) Regimen in Patients With Multi-Drug Resistant (MDR) HIV-1 Infection",30,Anticipated,May 2020,Anticipated
NCT03149354,Recruiting,NA,NA,Interventional,N/A,2017-05-04,Prevalence of Thyroid Function Abnormalities in HIV-infected Patients: State of Play in 2012,104,Anticipated,"December 19, 2022",Anticipated
NCT03143205,Recruiting,NA,NA,Interventional,N/A,2017-05-02,Gene Expression Outcomes in Interventions for Substance Using HIV+ Minority Men,40,Anticipated,"October 1, 2018",Anticipated
NCT03141060,Recruiting,NA,NA,Interventional,Phase 1/Phase 2,2017-05-01,"A Phase I/II Open-Label, Single-Arm Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of Delamanid in Combination With Optimized Multidrug Background Regimen (OBR) for Multidrug-Resistant Tuberculosis (MDR-TB) in HIV-Infected and HIV-Uninfected Children With MDR-TB",48,Anticipated,July 2019,Anticipated
NCT03110549,Recruiting,NA,NA,Interventional,Phase 1,2017-03-31,"A Phase 1, Randomized, Double-Blinded, Placebo-Controlled, Sequential Single Dose Escalation Study of the Safety, Tolerability and Pharmacokinetics of Subcutaneously and Intramuscularly Administered TMB-607 in HIV-Negative Volunteers",35,Anticipated,"December 31, 2018",Anticipated
NCT03095638,Completed,NA,NA,Interventional,Phase 1,2017-03-23,"A 2-Part, Phase I, Single Dose, Crossover Relative Bioavailability Study of Both TIVICAY 10 mg Conventional Tablets and 5 mg Dispersible Tablets Compared to Conventional TIVICAY Tablets in Fasted Healthy Adult Subjects",38,Actual,"June 23, 2017",Actual
NCT03091374,Recruiting,NA,NA,Interventional,Phase 2,2017-03-21,A Proof-of-concept Study to Assess the Effect of Recombinant Human Growth Hormone on the Size of the Replication-competent Viral Reservoir in HIV-infected Individuals on Suppressive Antiretroviral Therapy,22,Anticipated,December 2018,Anticipated
NCT03069417,"Active, not recruiting",NA,NA,Interventional,N/A,2017-02-01,Project INSPireD: Integrating Nuanced Support for Perinatal Adherence and Depression,40,Actual,"March 24, 2017",Actual
NCT03060629,Recruiting,NA,NA,Interventional,Phase 2,2017-02-17,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase 2b Efficacy Study of a Heterologous Prime/Boost Vaccine Regimen of Ad26.Mos4.HIV and Aluminum Phosphate-adjuvanted Clade C gp140 in Preventing HIV-1 Infection in Adult Women in Sub-Saharan Africa",2600,Anticipated,"November 2, 2020",Anticipated
NCT03042390,Completed,NA,NA,Observational,NA,2016-12-19,Multicenter Retrospective Study of the Effectiveness and Safety of Darunavir/Cobicistat (DRV/c) Containing Regimens in Routine Clinical Practice,762,Actual,"May 9, 2017",Actual
NCT03016533,Recruiting,NA,NA,Interventional,Phase 3,2017-01-06,Open-label Access to Dolutegravir for HIV-1 Infected Children and Adolescents Completing IMPAACT Study P1093,80,Anticipated,"December 29, 2023",Anticipated
NCT03008941,"Active, not recruiting",NA,NA,Interventional,Phase 1/Phase 2,2016-12-28,"A Phase I/II Randomized, Double-Blind, Placebo Controlled Study of Repeated Low-Dose Fecal Microbiota Restoration in HIV-Infected Subjects. The REFRESH Study",30,Actual,June 2018,Anticipated
NCT02985996,Recruiting,NA,NA,Interventional,Phase 1,2016-12-05,Body Compartment PK for New HIV Pre-exposure Prophylaxis Modalities,90,Anticipated,September 2018,Anticipated
NCT02974998,Recruiting,NA,NA,Interventional,N/A,2016-11-23,Expanding HIV Testing and Prevention to Reach Vulnerable Young Women,500,Anticipated,December 2020,Anticipated
NCT02960581,Enrolling by invitation,NA,NA,Interventional,Phase 1,2016-10-18,"A Phase 1 Randomized Placebo-controlled Clinical Trial of the Safety, Pharmacokinetics and Antiviral Activity of PGT121 Monoclonal Antibody (mAb) in HIV-uninfected and HIV-infected Adults",63,Anticipated,March 2018,Anticipated
NCT02945163,Recruiting,NA,NA,Interventional,Phase 4,2016-10-25,The Optimization of HAART for Chineseâ€”â€”a RCT Study,184,Anticipated,"June 30, 2019",Anticipated
NCT02938533,Completed,NA,NA,Interventional,N/A,2016-10-11,Pilot Study of a Multi-Pronged Intervention Using Social Norms and Priming to Improve Adherence to Antiretroviral Therapy and Retention in Care Among Adults Living With HIV in Tanzania,438,Actual,May 2016,Actual
NCT02938520,"Active, not recruiting",NA,NA,Interventional,Phase 3,2016-09-15,"A Phase III, Randomized, Multicenter, Parallel-group, Open-Label Study Evaluating the Efficacy, Safety, and Tolerability of Long-Acting Intramuscular Cabotegravir and Rilpivirine for Maintenance of Virologic Suppression Following Switch From an Integrase Inhibitor Single Tablet Regimen in HIV-1 Infected Antiretroviral Therapy Naive Adult Participants",570,Anticipated,"September 6, 2018",Anticipated
NCT02935075,Recruiting,NA,NA,Interventional,Phase 4,2016-10-14,Optimization of Antiretroviral Therapy,184,Anticipated,June 2019,Anticipated
NCT02934022,Completed,NA,NA,Interventional,N/A,2012-06-04,"Adding Maraviroc to the HAART Regimen of HIV-infected Patients Who Are Well Controlled, and the Effect on CD4 Lymphocyte Counts",25,Actual,December 2014,Actual
NCT02926456,Completed,NA,NA,Observational,NA,2016-09-21,"Italian Observational, Multicenter Study in HIV1 -Positive, Virosuppressed Patients Currently in Treatment With Ritonavir-boosted Protease Inhibitors (PI/r) Starting Cobicistat-boosted Darunavir (DRV/c - RezolstaÂ®): the STart Of REzolsta (ST.O.RE.) Study",337,Actual,"February 14, 2018",Actual
NCT02922907,Recruiting,NA,NA,Interventional,N/A,2016-09-28,"Anti-Inflammatory Effects of Arabinoxylan Rice Bran Supplementation in Participants With Treated, Suppressed HIV Infection and Inadequate Immune Reconstitution",24,Anticipated,June 2017,Anticipated
NCT02921841,Enrolling by invitation,NA,NA,Interventional,N/A,2016-09-29,Digital Star: HIV Prevention for Youth in Mental Health Treatment,120,Anticipated,July 2018,Anticipated
NCT02919306,"Active, not recruiting",NA,NA,Interventional,Phase 1/Phase 2,2016-09-01,"A Combined Phase 1/2a, Exploratory Study of a Therapeutic Vaccine Using an Adenovirus Type 26 Vector Prime and Modified Vaccinia Ankara Boost Combination With Mosaic Inserts in HIV-1 Infected Adults Who Initiated Antiretroviral Treatment During Acute HIV Infection",27,Actual,"September 7, 2018",Anticipated
NCT02915016,Recruiting,NA,NA,Interventional,Phase 1/Phase 2,2016-09-22,"A Phase 1/2a Clinical Trial to Evaluate the Safety and Immunogenicity of HIV Clade C DNA, and of MF59Â®- or AS01B-Adjuvanted Clade C Env Protein in Various Combinations, in Healthy, HIV-Uninfected Adult Participants",334,Anticipated,October 2018,Anticipated
NCT02904733,Recruiting,NA,NA,Interventional,N/A,2016-07-07,Validation Study of mHealth Technology in HIV to Improve Empowerment and Healthcare Utilisation: Research and Innovation to Generate Evidence for Personalised Care (EmERGE),3900,Anticipated,September 2019,Anticipated
NCT02893488,Completed,NA,NA,Interventional,Phase 1,2016-09-02,"A Phase I, Single Dose, Five-period Crossover Relative Bioavailability Study of a Fixed-dose Combination Dolutegravir/Abacavir/Lamivudine Dispersible Tablet as Compared to a Co-dose of TIVICAY and EPZICOM in Healthy Subjects",20,Actual,"November 1, 2016",Actual
NCT02888756,Terminated,NA,NA,Interventional,Phase 2,2016-08-23,"A Phase IIa Randomized, Placebo Controlled, Double Blinded Study to Evaluate the Safety and Immunogenicity of iHIVARNA-01 in Chronically HIV-infected Patients Under Stable Combined Antiretroviral Therapy",33,Actual,"February 12, 2018",Actual
NCT02881762,Recruiting,NA,NA,Interventional,Phase 4,2016-08-10,A Pilot Study to Evaluate Anti-Hepatitis C Virus Effect of Maraviroc in Patients Co-infected With Human Immunodeficiency Virus (HIV) and Hepatitis C,10,Anticipated,September 2018,Anticipated
NCT02873741,Recruiting,NA,NA,Interventional,N/A,2016-08-17,New Strategies to Assess Anal Cancer Risk In Women,200,Anticipated,October 2019,Anticipated
NCT02852005,"Active, not recruiting",NA,NA,Interventional,Phase 1,2016-07-28,"A Phase 1 Clinical Trial to Evaluate the Immunogenicity of AIDSVAX B/E Bivalent gp120 Vaccine and MVA/HIV62B in Healthy, HIV-1-Uninfected Adult Participants Who Previously Received MVA/HIV62B in DNA/MVA or MVA/MVA Regimens in HVTN 205",100,Anticipated,April 2018,Anticipated
NCT02846402,Completed,NA,NA,Interventional,N/A,2016-07-20,"The Causal Impact of HIV Self-testing Among Female Sex Workers in Kampala, Uganda",960,Actual,May 2017,Actual
NCT02833844,Recruiting,NA,NA,Interventional,Phase 3,2016-06-13,"A Double Blind, Randomized, Placebo Controlled, Multicenter Study to Evaluate Safety, Tolerability, and Efficacy on LDL-C of Evolocumab (AMG 145) in Subjects With HIV and With Hyperlipidemia and/or Mixed Dyslipidemia",450,Anticipated,"August 15, 2019",Anticipated
NCT02831764,"Active, not recruiting",NA,NA,Interventional,Phase 3,2016-07-08,"A Phase III, Randomised, Double-blind, Multicentre, Parallel-group, Non-inferiority Study Evaluating the Efficacy, Safety, and Tolerability of Dolutegravir Plus Lamivudine Compared to Dolutegravir Plus Tenofovir/Emtricitabine in HIV-1-infected Treatment-naÃ¯ve Adults",722,Actual,"April 4, 2018",Actual
NCT02831673,"Active, not recruiting",NA,NA,Interventional,Phase 3,2016-07-08,"A Phase III, Randomised, Double Blind, Multicentre, Parallel Group, Non Inferiority Study Evaluating the Efficacy, Safety, and Tolerability of Dolutegravir Plus Lamivudine Compared to Dolutegravir Plus Tenofovir/Emtricitabine in Human Immunodeficiency Virus 1 Infected Treatment naÃ¯ve Adults",719,Actual,"March 29, 2018",Actual
NCT02823847,Recruiting,NA,NA,Interventional,Early Phase 1,2016-07-01,Non-invasive Oral Cancer Screening Among Individuals Who Have HIV Infection,80,Anticipated,July 2019,Anticipated
NCT02816879,Recruiting,NA,NA,Interventional,N/A,2016-05-23,Improving Screening Tools to Better Predict High-Grade Anal Dysplasia for MSM,375,Anticipated,"July 31, 2018",Anticipated
NCT02812329,Completed,NA,NA,Interventional,Phase 1,2016-06-21,Intervention to Encourage HIV Testing and Counseling Among Adolescents,26,Actual,December 2016,Actual
NCT02805556,Completed,NA,NA,Interventional,Phase 1,2016-05-31,Study of the Absolute Bioavailability of BMS-626529 in Healthy Subjects Following Oral Dosing of BMS-663068 and Intravenous Dosing of BMS-626529,36,Actual,"May 5, 2016",Actual
NCT02799264,Completed,NA,NA,Interventional,Phase 1,2016-06-09,A Phase I Study Evaluating the Effect of a High Fat Meal on the Pharmacokinetics of Cabotegravir in Healthy Adult Volunteers,24,Actual,August 2016,Actual
NCT02797171,Recruiting,NA,NA,Interventional,Phase 1,2016-06-07,"A Phase 1 Clinical Trial to Evaluate the Safety, Pharmacokinetics, and Anti-Viral Activity of VRCHIVMAB060-00-AB (VRC01) and VRC-HIVMAB080-00-AB (VRC01LS) in the Serum and Mucosa of Healthy, HIV-Uninfected Adult Participants",74,Anticipated,November 2019,Anticipated
NCT02795754,Completed,NA,NA,Interventional,Phase 1,2016-01-21,"A Double-Blind (Sponsor Unblinded), Randomized, Placebo-Controlled, Continuation Single and Repeated Dose Escalation Study to Investigate the Safety, Tolerability and Pharmacokinetics of GSK2838232 With Ritonavir, in Healthy Subjects",62,Actual,December 2016,Actual
NCT02788175,Recruiting,NA,NA,Interventional,Phase 1,2016-05-28,"An Exploratory, Open-Label Study of Vedolizumab (Anti-alpha4beta7 Antibody) in Subjects With HIV Infection Undergoing Analytical Treatment Interruption",40,Anticipated,"May 1, 2019",Anticipated
NCT02788045,"Active, not recruiting",NA,NA,Interventional,Phase 2,2016-05-27,"A Randomized, Parallel-Group, Placebo-Controlled, Double-Blind Phase 1/2a Study in Healthy HIV Uninfected Adults to Assess the Safety/Tolerability and Immunogenicity of 2 Different Prime/Boost Regimens; Priming With Trivalent Ad26.Mos.HIV and Boosting With Trivalent Ad26.Mos.HIV And Clade C Gp140 Plus Adjuvant or Priming With Tetravalent Ad26.Mos4.HIV and Boosting With Tetravalent Ad26.Mos4.HIV and Clade C Gp140 Plus Adjuvant",201,Actual,October 2017,Actual
NCT02778204,Recruiting,NA,NA,Interventional,Phase 1,2016-05-13,Phase I Safety and Pharmacokinetic Study of Maraviroc in HIV-1-Exposed Infants at Risk of Acquiring HIV-1 Infection,72,Anticipated,"July 31, 2020",Anticipated
NCT02767193,Recruiting,NA,NA,Interventional,Phase 1,2016-04-22,"Safety and Immunogenicity of a Vaccine Dendritic Cell-based Pulsed With Autologous Heat-inactivated HIV in HIV-1 Infected Patients. Prospective, Randomized, Partially Blinded Study",32,Anticipated,June 2018,Anticipated
NCT02761629,Completed,NA,NA,Interventional,Phase 4,2016-05-03,"Randomized, Multi-Center, Phase IV, Comparative Study to Assess the Efficacy and Safety of Combined Peg-Interferon Alpha-2a (40 kD) With Ribavirin Combined Therapy for 48 or 72 Weeks of Treatment and 24 Weeks of Follow-Up in Patients With Chronic Hepatitis C, Genotype 1, Co-Infected With Human Immunodeficiency Virus",180,Actual,May 2008,Actual
NCT02741557,Completed,NA,NA,Interventional,Phase 1,2016-04-14,"An Open-label, Randomized, Two-way Crossover, Single Dose, Pivotal Bioequivalence Study of a Fixed-dose Combination of Dolutegravir and Rilpivirine in Healthy Volunteers",118,Actual,October 2016,Actual
NCT02741323,Recruiting,NA,NA,Interventional,Phase 2,2016-04-13,Impact of CCR5 Blockade in HIV+ Kidney Transplant Recipients,130,Anticipated,April 2021,Anticipated
NCT02738931,Completed,NA,NA,Interventional,Phase 1,2016-04-11,"A Phase I, Relative Oral Bioavailability Study of Different Fixed Dose Combinations of Dolutegravir and Lamivudine in Healthy Subjects",30,Actual,June 2016,Actual
NCT02738138,Completed,NA,NA,Interventional,Phase 3,2016-04-11,"A Multicenter, Open-Label Study to Evaluate the Efficacy and Safety of ABT-493/ABT-530 in Adults With Chronic Hepatitis C Virus (HCV) Genotype 1 - 6 Infection and Human Immunodeficiency Virus-1 (HIV-1) Co-Infection (EXPEDITION-2)",153,Actual,"March 15, 2017",Actual
NCT02735863,Completed,NA,NA,Interventional,Phase 2,2016-04-08,"A Multi-center, Randomized, Double-blind, Placebo-controlled Phase IIa Trial to Compare the Safety of ABX464 Given at a Fixed Dose to Placebo in Fully Controlled HIV Infected Patients Treated With Boosted Protease Inhibitor Treatment (Darunavir/Ritonavir or Darunavir/Cobicistat).",30,Actual,May 2017,Actual
NCT02733419,Completed,NA,NA,Interventional,Phase 3,2016-04-05,"Open-label, Randomised and Multi-center Study Evaluating the Efficacy and Safety of an Optimised Background Antiretroviral Regimen (OB) Compared to OB Associated With Enfuvirtide in Previously Treated HIV-1 Infected Patients in Virological Success After a 28-week Induction Treatment With Enfuvirtide Plus OB",84,Actual,March 2008,Actual
NCT02720094,Recruiting,NA,NA,Interventional,Phase 2/Phase 3,2016-03-21,"A Phase 2b/3 Double Blind Safety and Efficacy Study of Injectable Cabotegravir Compared to Daily Oral Tenofovir Disoproxil Fumarate/Emtricitabine (TDF/FTC), For Pre-Exposure Prophylaxis in HIV-Uninfected Cisgender Men and Transgender Women Who Have Sex With Men",4500,Anticipated,"September 30, 2021",Anticipated
