downcase_mesh_term,n,hiv_or_aids
paranasal sinus diseases,10,
paresthesia,10,
periodontal attachment loss,10,
peutz-jeghers syndrome,10,
plagiocephaly,10,
"pneumonia, mycoplasma",10,
"porphyrias, hepatic",10,
primary progressive nonfluent aphasia,10,
pseudohypoparathyroidism,10,
respiratory aspiration of gastric contents,10,
"rupture, spontaneous",10,
schistosomiasis haematobia,10,
schistosomiasis mansoni,10,
"seizures, febrile",10,
skin abnormalities,10,
skin manifestations,10,
"spastic paraplegia, hereditary",10,
spinal curvatures,10,
sturge-weber syndrome,10,
thrombasthenia,10,
thromboangiitis obliterans,10,
tooth fractures,10,
trichomonas vaginitis,10,
tyrosinemias,10,
urination disorders,10,
"vasculitis, central nervous system",10,
vasoplegia,10,
vocal cord dysfunction,10,
west nile fever,10,
wheat hypersensitivity,10,
adrenal gland diseases,9,
albinism,9,
"alveolitis, extrinsic allergic",9,
"anemia, neonatal",9,
angiofibroma,9,
"arthropathy, neurogenic",9,
atrial remodeling,9,
autoimmune diseases of the nervous system,9,
back injuries,9,
blast injuries,9,
brain stem neoplasms,9,
"carcinoma, large cell",9,
cerebral amyloid angiopathy,9,
"cerebral amyloid angiopathy, familial",9,
"cholestasis, extrahepatic",9,
cholesteatoma,9,
choroid diseases,9,
diabetic cardiomyopathies,9,
"diverticulitis, colonic",9,
"diverticulum, colon",9,
"dyskinesia, drug-induced",9,
endocardial cushion defects,9,
euthyroid sick syndromes,9,
eye abnormalities,9,
eye injuries,9,
factor xiii deficiency,9,
fibromuscular dysplasia,9,
focal infection,9,
"fractures, avulsion",9,
heart murmurs,9,
heat stress disorders,9,
hydrothorax,9,
hyper-igm immunodeficiency syndrome,9,
hyperammonemia,9,
hyperlactatemia,9,
"hypertension, renal",9,
iridocorneal endothelial syndrome,9,
iron metabolism disorders,9,
legg-calve-perthes disease,9,
"leishmaniasis, mucocutaneous",9,
leydig cell tumor,9,
"lymphoma, primary cutaneous anaplastic large cell",9,
"malocclusion, angle class iii",9,
mediastinitis,9,
mesenchymoma,9,
multicystic dysplastic kidney,9,
"muscular dystrophy, oculopharyngeal",9,
myocardial stunning,9,
myositis ossificans,9,
myotonia,9,
"ossification, heterotopic",9,
otosclerosis,9,
periprosthetic fractures,9,
peritonsillar abscess,9,
peroxisomal disorders,9,
pleural neoplasms,9,
pleurisy,9,
post-exercise hypotension,9,
precursor b-cell lymphoblastic leukemia-lymphoma,9,
pseudopseudohypoparathyroidism,9,
"rhabdomyosarcoma, alveolar",9,
"rhinitis, vasomotor",9,
sacroiliitis,9,
scotoma,9,
sex chromosome aberrations,9,
"shock, traumatic",9,
"skin diseases, genetic",9,
smith-magenis syndrome,9,
spondylolysis,9,
steatorrhea,9,
"still's disease, adult-onset",9,
"tachycardia, atrioventricular nodal reentry",9,
tinea capitis,9,
"toxoplasmosis, cerebral",9,
trichiasis,9,
ulna fractures,9,
urogenital abnormalities,9,
uterine cervical diseases,9,
vaginal fistula,9,
abruptio placentae,8,
adenocarcinoma in situ,8,
"adenocarcinoma, papillary",8,
adrenal cortex neoplasms,8,
alcohol abstinence,8,
alcohol drinking in college,8,
"asthma, aspirin-induced",8,
autoimmune lymphoproliferative syndrome,8,
autonomic dysreflexia,8,
bardet-biedl syndrome,8,
bisphosphonate-associated osteonecrosis of the jaw,8,
brachial plexus neuritis,8,
"bulbo-spinal atrophy, x-linked",8,
cadasil,8,
"cardiomyopathy, restrictive",8,
central nervous system vascular malformations,8,
chalazion,8,
chorea,8,
compulsive behavior,8,
corneal injuries,8,
cystadenoma,8,
dent disease,8,
dental pulp exposure,8,
dentofacial deformities,8,
dextrocardia,8,
digestive system abnormalities,8,
disorders of sex development,8,
"dysautonomia, familial",8,
dysuria,8,
erysipelas,8,
fever of unknown origin,8,
flatulence,8,
fluoride poisoning,8,
fracture dislocation,8,
fructose intolerance,8,
fucosidosis,8,
ganglioneuroblastoma,8,
"gangliosidoses, gm2",8,
giant cell tumor of tendon sheath,8,
glycogen storage disease type i,8,
"graft occlusion, vascular",8,
heart injuries,8,
hemangioblastoma,8,
hepatopulmonary syndrome,8,
hydatidiform mole,8,
"hypersomnolence, idiopathic",8,
hypopigmentation,8,
"ichthyosiform erythroderma, congenital",8,
intestinal pseudo-obstruction,8,
"keratitis, herpetic",8,
laryngomalacia,8,
laurence-moon syndrome,8,
lipoma,8,
lithiasis,8,
liver abscess,8,
may-thurner syndrome,8,
meningeal neoplasms,8,
micrognathism,8,
mixed connective tissue disease,8,
monosomy,8,
mucolipidoses,8,
mucopolysaccharidosis vii,8,
"neoplasms, connective and soft tissue",8,
neuromuscular manifestations,8,
nose diseases,8,
orbital fractures,8,
osteoradionecrosis,8,
"pain, referred",8,
panniculitis,8,
"pathological conditions, anatomical",8,
"pemphigoid, benign mucous membrane",8,
periapical diseases,8,
photophobia,8,
"pneumonia, viral",8,
propionic acidemia,8,
protein deficiency,8,
"puberty, delayed",8,
pulmonary blastoma,8,
q fever,8,
refeeding syndrome,8,
salivary gland diseases,8,
scorpion stings,8,
scrub typhus,8,
sex cord-gonadal stromal tumors,8,
siderosis,8,
silicosis,8,
suppuration,8,
syringomyelia,8,
trichuriasis,8,
"typhus, epidemic louse-borne",8,
unilateral breast neoplasms,8,
vaginal discharge,8,
vascular remodeling,8,
vulvar diseases,8,
vulvar lichen sclerosus,8,
"wounds, nonpenetrating",8,
"albinism, oculocutaneous",7,
anisometropia,7,
anorectal malformations,7,
arbovirus infections,7,
"arthritis, reactive",7,
bankart lesions,7,
bladder exstrophy,7,
blind loop syndrome,7,
"bone diseases, infectious",7,
"brain injury, chronic",7,
bronchial diseases,7,
"carcinoma, embryonal",7,
"carcinoma, signet ring cell",7,
cerebellar diseases,7,
chondrocalcinosis,7,
chylothorax,7,
convalescence,7,
"coproporphyria, hereditary",7,
cranial nerve diseases,7,
dental enamel hypoplasia,7,
"dermatitis, exfoliative",7,
dermoid cyst,7,
discitis,7,
echinococcosis,7,
"embolism, air",7,
"empyema, pleural",7,
"endocarditis, subacute bacterial",7,
"epilepsy, tonic-clonic",7,
erythromelalgia,7,
eyelid diseases,7,
facial nerve diseases,7,
fetal weight,7,
fournier gangrene,7,
gingival overgrowth,7,
gonadal disorders,7,
gynecomastia,7,
heart neoplasms,7,
"hemangioma, cavernous, central nervous system",7,
hereditary angioedema types i and ii,7,
homocystinuria,7,
"hyper-igm immunodeficiency syndrome, type 1",7,
igg deficiency,7,
illness behavior,7,
intestinal polyps,7,
intestinal volvulus,7,
intra-articular fractures,7,
"kidney diseases, cystic",7,
laryngismus,7,
late onset disorders,7,
latent autoimmune diabetes in adults,7,
leigh disease,7,
leptospirosis,7,
"lipodystrophy, familial partial",7,
long term adverse effects,7,
"lung diseases, fungal",7,
lyme neuroborreliosis,7,
"mental retardation, x-linked",7,
"metal metabolism, inborn errors",7,
methemoglobinemia,7,
mononeuropathies,7,
mucormycosis,7,
myotonic disorders,7,
"nails, ingrown",7,
"nails, malformed",7,
netherton syndrome,7,
no-reflow phenomenon,7,
"obesity, metabolically benign",7,
olfaction disorders,7,
ophthalmoplegia,7,
optic nerve injuries,7,
organophosphate poisoning,7,
"osteoarthritis, spine",7,
osteolysis,7,
pantothenate kinase-associated neurodegeneration,7,
parotid neoplasms,7,
photosensitivity disorders,7,
pierre robin syndrome,7,
plague,7,
proctocolitis,7,
psychomotor disorders,7,
"reflex, abnormal",7,
retrognathia,7,
retroperitoneal neoplasms,7,
salmonella infections,7,
"sarcoma, endometrial stromal",7,
schnitzler syndrome,7,
shared paranoid disorder,7,
sigmoid neoplasms,7,
situs inversus,7,
"skin diseases, papulosquamous",7,
"sleep disorders, intrinsic",7,
solitary fibrous tumors,7,
speech sound disorder,7,
sphingolipidoses,7,
"synovitis, pigmented villonodular",7,
"tachycardia, sinus",7,
tooth attrition,7,
torsion abnormality,7,
tracheobronchomalacia,7,
tracheoesophageal fistula,7,
tricuspid atresia,7,
vaginismus,7,
vertebrobasilar insufficiency,7,
vulvovaginitis,7,
water-electrolyte imbalance,7,
weil disease,7,
xeroderma pigmentosum,7,
zygomycosis,7,
"acidosis, renal tubular",6,
"acidosis, respiratory",6,
acinetobacter infections,6,
acne keloid,6,
anencephaly,6,
angiodysplasia,6,
ankyloglossia,6,
anomia,6,
"arrhythmia, sinus",6,
articulation disorders,6,
asthenia,6,
basal ganglia diseases,6,
biliary dyskinesia,6,
blastomycosis,6,
borrelia infections,6,
"brain diseases, metabolic",6,
cadaver,6,
calcium metabolism disorders,6,
catatonia,6,
central cord syndrome,6,
channelopathies,6,
cheilitis,6,
cockayne syndrome,6,
cogan syndrome,6,
"colitis, collagenous",6,
congenital disorders of glycosylation,6,
croup,6,
darier disease,6,
diurnal enuresis,6,
drug hypersensitivity syndrome,6,
ectropion,6,
"encephalomyelitis, venezuelan equine",6,
entropion,6,
"epilepsy, post-traumatic",6,
"epilepsy, reflex",6,
esophageal fistula,6,
exostoses,6,
eye burns,6,
"eye infections, bacterial",6,
eye pain,6,
facial asymmetry,6,
facial neuralgia,6,
fasciculation,6,
flank pain,6,
"fractures, comminuted",6,
ganglioglioma,6,
"gangliosidosis, gm1",6,
gas gangrene,6,
gingival hemorrhage,6,
"glioma, subependymal",6,
glycogen storage disease type iii,6,
glycogen storage disease type v,6,
growth hormone-secreting pituitary adenoma,6,
hamartoma,6,
hand dermatoses,6,
"hearing loss, sudden",6,
"hemangioma, cavernous",6,
hemarthrosis,6,
hematemesis,6,
hemorrhagic fever with renal syndrome,6,
hermanski-pudlak syndrome,6,
hydrops fetalis,6,
hyperlipoproteinemia type iv,6,
hypesthesia,6,
hypobetalipoproteinemias,6,
iatrogenic disease,6,
infectious mononucleosis,6,
infratentorial neoplasms,6,
insect bites and stings,6,
intracranial embolism and thrombosis,6,
"intracranial hemorrhage, traumatic",6,
intracranial hypotension,6,
jaw abnormalities,6,
kaposi varicelliform eruption,6,
kernicterus,6,
laryngostenosis,6,
legionnaires' disease,6,
leukemoid reaction,6,
leukocyte-adhesion deficiency syndrome,6,
lipedema,6,
lordosis,6,
macrophage activation syndrome,6,
malformations of cortical development,6,
marburg virus disease,6,
masked hypertension,6,
maxillofacial injuries,6,
melioidosis,6,
metatarsalgia,6,
microvascular angina,6,
miosis,6,
mitochondrial encephalomyopathies,6,
morning sickness,6,
neointima,6,
"neoplasms, connective tissue",6,
"neoplasms, cystic, mucinous, and serous",6,
"neoplasms, nerve tissue",6,
nephrocalcinosis,6,
oliguria,6,
oral manifestations,6,
osteitis,6,
osteoma,6,
"osteoma, osteoid",6,
pachyonychia congenita,6,
paratyphoid fever,6,
periarthritis,6,
peroneal neuropathies,6,
phimosis,6,
pityriasis,6,
"pneumonia, staphylococcal",6,
porphyria cutanea tarda,6,
"positive-pressure respiration, intrinsic",6,
prodromal symptoms,6,
progeria,6,
protozoan infections,6,
respiratory system abnormalities,6,
retinal vasculitis,6,
retroperitoneal fibrosis,6,
root caries,6,
root resorption,6,
"sarcoma, myeloid",6,
sertoli-leydig cell tumor,6,
sphincter of oddi dysfunction,6,
spinal osteophytosis,6,
strongyloidiasis,6,
thyrotoxicosis,6,
tooth injuries,6,
torsades de pointes,6,
ulnar neuropathies,6,
urethritis,6,
velopharyngeal insufficiency,6,
vibrio infections,6,
vipoma,6,
war-related injuries,6,
"wounds, gunshot",6,
zenker diverticulum,6,
22q11 deletion syndrome,5,
acanthamoeba keratitis,5,
acanthosis nigricans,5,
acute radiation syndrome,5,
adnexal diseases,5,
agenesis of corpus callosum,5,
"aging, premature",5,
alcohol-induced disorders,5,
alkaptonuria,5,
alpha-thalassemia,5,
alstrom syndrome,5,
"anemia, hemolytic, congenital nonspherocytic",5,
"aneurysm, false",5,
angioid streaks,5,
argininosuccinic aciduria,5,
arthrogryposis,5,
barth syndrome,5,
berylliosis,5,
bile reflux,5,
birt-hogg-dube syndrome,5,
birth injuries,5,
"bone demineralization, pathologic",5,
"bone diseases, developmental",5,
"bone diseases, endocrine",5,
bone marrow neoplasms,5,
"brain damage, chronic",5,
"brain diseases, metabolic, inborn",5,
buruli ulcer,5,
canavan disease,5,
"cardiomyopathy, hypertrophic, familial",5,
cerebral arterial diseases,5,
chondromalacia patellae,5,
chorioretinitis,5,
choroiditis,5,
citrullinemia,5,
"colitis, lymphocytic",5,
compassion fatigue,5,
congenital microtia,5,
conjunctival neoplasms,5,
dacryocystitis,5,
depersonalization,5,
dermatomycoses,5,
diffuse axonal injury,5,
digestive system fistula,5,
dna virus infections,5,
dry socket,5,
"echinococcosis, hepatic",5,
"edema, cardiac",5,
"encephalitis, herpes simplex",5,
encopresis,5,
exsanguination,5,
extravasation of diagnostic and therapeutic materials,5,
factor vii deficiency,5,
fecal impaction,5,
"foot deformities, congenital",5,
forearm injuries,5,
"fractures, multiple",5,
galactorrhea,5,
galactosemias,5,
gender dysphoria,5,
genomic instability,5,
genu varum,5,
giardiasis,5,
hammer toe syndrome,5,
heat stroke,5,
heel spur,5,
hepatomegaly,5,
"hernia, femoral",5,
heterotaxy syndrome,5,
"hypersensitivity, delayed",5,
hypersplenism,5,
hypoalphalipoproteinemias,5,
immunoproliferative disorders,5,
intestinal polyposis,5,
intracranial thrombosis,5,
iritis,5,
kasabach-merritt syndrome,5,
lacrimal duct obstruction,5,
legionellosis,5,
"lupus vasculitis, central nervous system",5,
lymphadenitis,5,
maxillofacial abnormalities,5,
multiple chemical sensitivity,5,
multiple endocrine neoplasia type 2a,5,
muscle rigidity,5,
musculoskeletal abnormalities,5,
myotonia congenita,5,
"neoplasms, hormone-dependent",5,
neurogenic inflammation,5,
neurotic disorders,5,
"nose deformities, acquired",5,
occupational diseases,5,
ochronosis,5,
open bite,5,
oral submucous fibrosis,5,
orbital neoplasms,5,
"otitis media, suppurative",5,
paranoid disorders,5,
parapsoriasis,5,
"parkinson disease, secondary",5,
pectus carinatum,5,
peritoneal diseases,5,
piebaldism,5,
"plagiocephaly, nonsynostotic",5,
pneumocystis infections,5,
poems syndrome,5,
polydipsia,5,
polyradiculopathy,5,
"porphyria, variegate",5,
posterior tibial tendon dysfunction,5,
proteus syndrome,5,
retinal hemorrhage,5,
sarcoglycanopathies,5,
"schizophrenia, childhood",5,
scurvy,5,
sepsis-associated encephalopathy,5,
"sinus thrombosis, intracranial",5,
"skin diseases, vesiculobullous",5,
sleep-wake transition disorders,5,
smoke inhalation injury,5,
"sprue, tropical",5,
"stenosis, pulmonary vein",5,
"stroke, lacunar",5,
"t-lymphocytopenia, idiopathic cd4-positive",5,
tangier disease,5,
testicular diseases,5,
testicular hydrocele,5,
thoracic outlet syndrome,5,
"thrombocytopenia, neonatal alloimmune",5,
tick-borne diseases,5,
tooth demineralization,5,
"toxoplasmosis, congenital",5,
trochlear nerve diseases,5,
"tuberculosis, pleural",5,
urological manifestations,5,
ventricular flutter,5,
vesicovaginal fistula,5,
wolfram syndrome,5,
"wounds, penetrating",5,
xanthomatosis,5,
xerophthalmia,5,
"46, xx disorders of sex development",4,
"abnormalities, radiation-induced",4,
acanthocheilonemiasis,4,
achlorhydria,4,
"adenoma, villous",4,
adrenal cortex diseases,4,
anti-n-methyl-d-aspartate receptor encephalitis,4,
aortitis,4,
ascorbic acid deficiency,4,
aspartylglucosaminuria,4,
"asthma, occupational",4,
asymptomatic infections,4,
beckwith-wiedemann syndrome,4,
biliary fistula,4,
biotinidase deficiency,4,
brain contusion,4,
breast cyst,4,
"burns, chemical",4,
"candidiasis, chronic mucocutaneous",4,
capillary leak syndrome,4,
carbamoyl-phosphate synthase i deficiency disease,4,
carney complex,4,
choroid neoplasms,4,
coagulation protein disorders,4,
coloboma,4,
common bile duct diseases,4,
coxsackievirus infections,4,
creutzfeldt-jakob syndrome,4,
"cystadenoma, mucinous",4,
de quervain disease,4,
"dementia, multi-infarct",4,
"demyelinating autoimmune diseases, cns",4,
"dermatitis, irritant",4,
"diabetes insipidus, nephrogenic",4,
"diabetes insipidus, neurogenic",4,
"diastasis, muscle",4,
dipetalonema infections,4,
disorders of environmental origin,4,
dna repair-deficiency disorders,4,
dysgerminoma,4,
"embolism, fat",4,
"encephalomyelitis, acute disseminated",4,
"epilepsy, frontal lobe",4,
erythema multiforme,4,
"erythroblastosis, fetal",4,
esophageal perforation,4,
ethmoid sinusitis,4,
"exostoses, multiple hereditary",4,
factor x deficiency,4,
"fatty liver, alcoholic",4,
furunculosis,4,
fusariosis,4,
gait apraxia,4,
gastric antral vascular ectasia,4,
gitelman syndrome,4,
glycogen storage disease type iv,4,
goldenhar syndrome,4,
"granuloma, plasma cell",4,
granulosa cell tumor,4,
hair diseases,4,
hand deformities,4,
"hand deformities, congenital",4,
"hemangioendothelioma, epithelioid",4,
hemoglobin c disease,4,
hemopneumothorax,4,
hereditary sensory and autonomic neuropathies,4,
"heredodegenerative disorders, nervous system",4,
horner syndrome,4,
hydrarthrosis,4,
hypoaldosteronism,4,
hypolipoproteinemias,4,
ichthyosis vulgaris,4,
illusions,4,
"kidney tubular necrosis, acute",4,
knee dislocation,4,
laryngeal edema,4,
lens subluxation,4,
lesch-nyhan syndrome,4,
leukoaraiosis,4,
leukocyte disorders,4,
listeriosis,4,
"liver abscess, pyogenic",4,
loeys-dietz syndrome,4,
lymphomatoid papulosis,4,
malignant hyperthermia,4,
mansonelliasis,4,
mastocytoma,4,
median neuropathy,4,
"meningitis, pneumococcal",4,
meningoencephalitis,4,
mite infestations,4,
"mixed tumor, mesodermal",4,
monkeypox,4,
"myopathies, nemaline",4,
neck injuries,4,
"neoplasms, basal cell",4,
neoplastic processes,4,
neurosyphilis,4,
occupational injuries,4,
oculocerebrorenal syndrome,4,
oculomotor nerve diseases,4,
oligomenorrhea,4,
opsoclonus-myoclonus syndrome,4,
"optic atrophy, autosomal dominant",4,
osteochondroma,4,
osteochondromatosis,4,
osteophyte,4,
otomycosis,4,
"pain insensitivity, congenital",4,
parvoviridae infections,4,
pedophilia,4,
pelizaeus-merzbacher disease,4,
peptic ulcer perforation,4,
periapical abscess,4,
pharyngeal diseases,4,
"polychondritis, relapsing",4,
postcholecystectomy syndrome,4,
"pregnancy complications, infectious",4,
"pregnancy, ovarian",4,
priapism,4,
prion diseases,4,
protein-losing enteropathies,4,
pseudohypoaldosteronism,4,
"psychoses, substance-induced",4,
puerperal infection,4,
pulmonary atresia,4,
pupil disorders,4,
"pyruvate metabolism, inborn errors",4,
refsum disease,4,
retroviridae infections,4,
rickettsia infections,4,
rift valley fever,4,
shaken baby syndrome,4,
skull base neoplasms,4,
skull fractures,4,
sneezing,4,
"solitary fibrous tumor, pleural",4,
"spherocytosis, hereditary",4,
"stenosis, pulmonary artery",4,
stereotypic movement disorder,4,
stiff-person syndrome,4,
"suicide, assisted",4,
syndactyly,4,
teratozoospermia,4,
tooth abnormalities,4,
tooth abrasion,4,
tracheitis,4,
unverricht-lundborg syndrome,4,
uremia,4,
"vasculitis, leukocytoclastic, cutaneous",4,
ventricular outflow obstruction,4,
vertebral artery dissection,4,
vitamin b 6 deficiency,4,
white coat hypertension,4,
wolff-parkinson-white syndrome,4,
"xanthomatosis, cerebrotendinous",4,
zellweger syndrome,4,
abducens nerve diseases,3,
aberrant crypt foci,3,
abetalipoproteinemia,3,
"abortion, septic",3,
acrodermatitis,3,
"acth syndrome, ectopic",3,
"adenoma, oxyphilic",3,
adiposis dolorosa,3,
agranulocytosis,3,
agraphia,3,
alcohol withdrawal delirium,3,
"alkalosis, respiratory",3,
"anemia, dyserythropoietic, congenital",3,
anus diseases,3,
"apraxia, ideomotor",3,
asbestosis,3,
ascariasis,3,
atypical squamous cells of the cervix,3,
barotrauma,3,
budd-chiari syndrome,3,
burkholderia infections,3,
cardiac tamponade,3,
"cell transformation, neoplastic",3,
"chondrosarcoma, mesenchymal",3,
conjunctival diseases,3,
coronary vessel anomalies,3,
craniofacial dysostosis,3,
craniomandibular disorders,3,
cyanosis,3,
"cystadenoma, serous",3,
"cystic adenomatoid malformation of lung, congenital",3,
dandruff,3,
dental calculus,3,
dermatitis herpetiformis,3,
"dermatitis, perioral",3,
diplopia,3,
double outlet right ventricle,3,
drowning,3,
drug-seeking behavior,3,
drug eruptions,3,
duodenal diseases,3,
duodenal obstruction,3,
ebstein anomaly,3,
"embolism, paradoxical",3,
endolymphatic hydrops,3,
endomyocardial fibrosis,3,
"enterocolitis, neutropenic",3,
environmental illness,3,
"epidermolysis bullosa, junctional",3,
"epilepsy, partial, motor",3,
erythema nodosum,3,
erythroplasia,3,
"eye injuries, penetrating",3,
eye manifestations,3,
factor xi deficiency,3,
fallopian tube diseases,3,
fat necrosis,3,
female athlete triad syndrome,3,
fetomaternal transfusion,3,
flaviviridae infections,3,
flavivirus infections,3,
focal nodular hyperplasia,3,
foot dermatoses,3,
"fractures, malunited",3,
frontal sinusitis,3,
gigantism,3,
glycogen storage disease type vii,3,
granuloma annulare,3,
gyrate atrophy,3,
hantavirus infections,3,
hantavirus pulmonary syndrome,3,
"head injuries, penetrating",3,
hereditary central nervous system demyelinating diseases,3,
herpangina,3,
histiocytic sarcoma,3,
htlv-ii infections,3,
hyperargininemia,3,
hyperlipoproteinemia type iii,3,
hyperoxaluria,3,
"hypertrophy, right ventricular",3,
hypokalemic periodic paralysis,3,
"hypophosphatemia, familial",3,
hypothalamic diseases,3,
ileal neoplasms,3,
ileitis,3,
iliotibial band syndrome,3,
inferior wall myocardial infarction,3,
jejunal neoplasms,3,
jet lag syndrome,3,
joint loose bodies,3,
kearns-sayre syndrome,3,
korsakoff syndrome,3,
lens diseases,3,
leriche syndrome,3,
leukocytosis,3,
"limb deformities, congenital",3,
"lipodystrophy, congenital generalized",3,
lung abscess,3,
"malocclusion, angle class i",3,
mandibular injuries,3,
"mastocytosis, cutaneous",3,
mastoiditis,3,
"meningitis, aseptic",3,
"meningitis, viral",3,
metabolic side effects of drugs and substances,3,
mevalonate kinase deficiency,3,
"mineralocorticoid excess syndrome, apparent",3,
mobius syndrome,3,
multiple endocrine neoplasia type 2b,3,
multiple personality disorder,3,
nail diseases,3,
nematode infections,3,
"nephritis, interstitial",3,
"nephroma, mesoblastic",3,
nephrosclerosis,3,
"nevus, epithelioid and spindle cell",3,
nodding syndrome,3,
"nystagmus, congenital",3,
ocular hypotension,3,
odontogenic tumors,3,
"ophthalmoplegia, chronic progressive external",3,
orofaciodigital syndromes,3,
ossification of posterior longitudinal ligament,3,
"osteolysis, essential",3,
pancoast syndrome,3,
"pancreatitis, alcoholic",3,
"paraganglioma, extra-adrenal",3,
"paralysis, hyperkalemic periodic",3,
paratuberculosis,3,
penile diseases,3,
pentalogy of cantrell,3,
"pericarditis, constrictive",3,
pericoronitis,3,
peritoneal fibrosis,3,
perivascular epithelioid cell neoplasms,3,
pityriasis rubra pilaris,3,
pneumoconiosis,3,
"polycystic kidney, autosomal recessive",3,
polyhydramnios,3,
polyomavirus infections,3,
posterior leukoencephalopathy syndrome,3,
postpericardiotomy syndrome,3,
"pregnancy, abdominal",3,
"pregnancy, tubal",3,
protein c deficiency,3,
pudendal neuralgia,3,
"purine-pyrimidine metabolism, inborn errors",3,
"pyloric stenosis, hypertrophic",3,
rectovaginal fistula,3,
"refsum disease, infantile",3,
reproductive tract infections,3,
retinal drusen,3,
retinal neoplasms,3,
"rhinitis, atrophic",3,
"schizophrenia, disorganized",3,
sciatic neuropathy,3,
"scleroderma, limited",3,
"sexually transmitted diseases, viral",3,
silver-russell syndrome,3,
sjogren-larsson syndrome,3,
"skin diseases, eczematous",3,
somnambulism,3,
sporotrichosis,3,
"stomatitis, herpetic",3,
sweat gland diseases,3,
systolic murmurs,3,
"tachycardia, ectopic atrial",3,
tooth mobility,3,
"toxoplasmosis, ocular",3,
tracheal diseases,3,
tracheomalacia,3,
trauma and stressor related disorders,3,
"tuberculosis, spinal",3,
tularemia,3,
tumor virus infections,3,
ureteral diseases,3,
urethral obstruction,3,
uterine cervicitis,3,
uterine rupture,3,
uveomeningoencephalitic syndrome,3,
vascular headaches,3,
vitamin e deficiency,3,
vitelliform macular dystrophy,3,
wagr syndrome,3,
waterborne diseases,3,
wernicke encephalopathy,3,
yin deficiency,3,
zygomatic fractures,3,
accessory nerve injuries,2,
acquired hyperostosis syndrome,2,
activated protein c resistance,2,
acute generalized exanthematous pustulosis,2,
"adenocarcinoma, sebaceous",2,
"adenoma, bile duct",2,
"adenoma, liver cell",2,
"adenoma, pleomorphic",2,
adenosarcoma,2,
"adenovirus infections, human",2,
aicardi syndrome,2,
"akathisia, drug-induced",2,
"albinism, ocular",2,
"alcohol-induced disorders, nervous system",2,
alcoholic neuropathy,2,
amaurosis fugax,2,
amelogenesis imperfecta,2,
"amnesia, transient global",2,
andersen syndrome,2,
anisakiasis,2,
aniseikonia,2,
anophthalmos,2,
"anticipation, genetic",2,
"aortic stenosis, supravalvular",2,
arachnoiditis,2,
balanitis,2,
bartter syndrome,2,
"blood coagulation disorders, inherited",2,
blood protein disorders,2,
"bone cysts, aneurysmal",2,
brain abscess,2,
"brain hemorrhage, traumatic",2,
"brain injuries, diffuse",2,
brown-sequard syndrome,2,
"carcinoma, giant cell",2,
cardiovascular infections,2,
caroli disease,2,
"carotid artery, internal, dissection",2,
cat-scratch disease,2,
central nervous system fungal infections,2,
cerebellar neoplasms,2,
cerebrovascular trauma,2,
cherubism,2,
choledochal cyst,2,
choline deficiency,2,
chondroma,2,
chromosomal instability,2,
ciliopathies,2,
"colitis, ischemic",2,
common bile duct neoplasms,2,
"communicable diseases, emerging",2,
corneal perforation,2,
crest syndrome,2,
cryptogenic organizing pneumonia,2,
cutaneous fistula,2,
cyclothymic disorder,2,
de lange syndrome,2,
"dental occlusion, traumatic",2,
denys-drash syndrome,2,
diastema,2,
dientamoebiasis,2,
diffuse cerebral sclerosis of schilder,2,
disease attributes,2,
"drug-induced liver injury, chronic",2,
duodenitis,2,
dyscalculia,2,
"dyslexia, acquired",2,
elbow tendinopathy,2,
emaciation,2,
"embolism, cholesterol",2,
embryo loss,2,
"encephalomyelitis, eastern equine",2,
"encephalomyelitis, western equine",2,
endometrial stromal tumors,2,
enthesopathy,2,
epidermodysplasia verruciformis,2,
epidermolysis bullosa acquisita,2,
epilepsia partialis continua,2,
epispadias,2,
erythema infectiosum,2,
exophthalmos,2,
"eye infections, fungal",2,
facial hemiatrophy,2,
facial nerve injuries,2,
farber lipogranulomatosis,2,
femoral neuropathy,2,
fetal nutrition disorders,2,
focal dermal hypoplasia,2,
"foot deformities, acquired",2,
foreign-body reaction,2,
frasier syndrome,2,
"fructose metabolism, inborn errors",2,
gagging,2,
ganglioneuroma,2,
gastric fistula,2,
genu valgum,2,
giant axonal neuropathy,2,
gingival hyperplasia,2,
gingival hypertrophy,2,
"gingivitis, necrotizing ulcerative",2,
glossopharyngeal nerve diseases,2,
granulomatous mastitis,2,
"hearing loss, functional",2,
heat exhaustion,2,
"hematoma, epidural, cranial",2,
"hematoma, epidural, spinal",2,
"hematoma, subdural, acute",2,
"hematoma, subdural, intracranial",2,
hemoperitoneum,2,
"hemorrhagic fever, crimean",2,
herpes zoster ophthalmicus,2,
hiccup,2,
holoprosencephaly,2,
hordeolum,2,
"hydatidiform mole, invasive",2,
"hyperkeratosis, epidermolytic",2,
hyperostosis,2,
"hypertension, malignant",2,
hypertensive retinopathy,2,
hypertriglyceridemic waist,2,
hypocapnia,2,
implant capsular contracture,2,
"impotence, vasculogenic",2,
inert gas narcosis,2,
"infarction, anterior cerebral artery",2,
intestinal atresia,2,
intracranial arterial diseases,2,
jaw fractures,2,
jervell-lange nielsen syndrome,2,
"joint deformities, acquired",2,
kleine-levin syndrome,2,
klippel-feil syndrome,2,
krukenberg tumor,2,
landau-kleffner syndrome,2,
laron syndrome,2,
laryngeal nerve injuries,2,
lassa fever,2,
latex hypersensitivity,2,
