COMPONENT,SYSTEM,SCALE,n2,codes,methods
Microscopic observation,Urethra,Nom,2,"57851-8,6474-1",Wet preparation|Gram stain
Microscopic observation,Urine,Nom,10,"11070-0,11480-1,20883-5,53785-2,53905-6,650-2,651-0,652-8,653-6,68958-8",Cyto stain|Acid fast stain|Dark field examination|Wright stain|Rhodamine-auramine fluorochrome stain|Acid fast stain.Kinyoun|Acid fast stain.Kinyoun modified|Acid fast stain.Ziehl-Neelsen|Gram stain|KOH preparation
Microscopic observation,Vag,Nom,5,"14319-8,14356-0,14361-0,32151-3,39086-4",Wet preparation|KOH preparation|Gram stain|Cytology.non-gyn|Cyto stain.thin prep
Microscopic observation,Vomitus,Ord,2,"88169-8,88366-0",Acid fast stain|Acid fast stain
Microscopic observation,Wound,Nom,3,"10357-2,14354-5,88151-6",Gram stain|Acid fast stain.Kinyoun modified|Acid fast stain
Microscopic observation,XXX,Nom,49,"10525-4,11545-1,11546-9,14841-1,14842-9,20431-3,32785-8,32798-1,32814-6,32815-3,32816-1,32817-9,32818-7,32824-5,33675-0,33699-0,34166-9,35347-4,44098-2,45043-7,51700-3,654-4,655-1,656-9,657-7,6582-1,658-5,659-3,660-1,661-9,662-7,663-5,664-3,665-0,666-8,667-6,668-4,669-2,670-0,671-8,672-6,674-2,676-7,677-5,678-3,679-1,680-9,681-7,682-5",Cyto stain|Acid fast stain|XXX stain|Iron hematoxylin stain|Kinyoun iron hematoxylin stain|Smear|Cytology.non-gyn|Oil red O stain|Chloracetate esterase stain|Sudan black B stain|Terminal deoxynucleotidyl transferase stain|Myeloperoxidase stain|Acetate esterase stain|Tartrate-resistant acid phosphatase stain|Esterase stain.combined|Malachite green stain|Microscopy.electron|IF|Wayson stain|Tzanck smear|Lactophenol blue|Acid fast stain.Kinyoun|Acid fast stain.Kinyoun modified|Acid fast stain.Ziehl-Neelsen|Acridine orange stain|Tzanck smear|Calcofluor white preparation|Carbol-fuchsin stain|Dark field examination|Dry mount|Giemsa stain|Gimenez stain|Gram stain|Hematoxylin and eosin stain|India ink preparation|KOH preparation|M'Fadyean stain|Macchiavello stain|Methenamine silver nitrate stain|Methylene blue stain.Loeffler|Neisser stain|Periodic acid-Schiff stain|Rhodamine-auramine fluorochrome stain|Toluidine blue O stain|Trichrome stain|Warthin-Starry stain|Wet preparation|Wright stain|Wright Giemsa stain
Microscopic observation,XXX,Ord,2,"72357-7,87243-2",Acid fast stain|Auramine fluorochrome stain
Microsporidia identified,Stool,Nom,2,"32701-5,32819-5",Trichrome modified|Trichrome stain
Midazolam,Bld,Qn,2,"59707-0,59708-8",NA|Confirm
Midazolam,Body fld,Qn,2,"59709-6,59710-4",NA|Confirm
Midazolam,Ser/Plas,Qn,3,"15109-2,3821-6,59711-2",NA|NA|Confirm
Midazolam,Tiss,Qn,2,"59712-0,59713-8",NA|Confirm
Midazolam,Urine,Ord,2,"19585-9,19586-7",Screen|Confirm
Midazolam,Urine,Qn,2,"16233-9,19588-3",Confirm|NA
Midazolam cutoff,Urine,Qn,2,"19589-1,19590-9",Screen|Confirm
Middle East respiratory syndrome coronavirus RNA,Nph,Ord,2,"88197-9,88889-1",Probe.amp.tar|Non-probe.amp.tar
Middle East respiratory syndrome coronavirus RNA,Respiratory.lower,Ord,2,"91830-0,92967-9",Probe.amp.tar|Non-probe.amp.tar
Minocycline,Isolate,OrdQn,5,"18948-0,335-0,336-8,55156-4,7032-6",NA|MIC|Agar diffusion|Method for Slow-growing mycobacteria|Gradient strip
Minor axis.end diastole,Heart.ventricle.left,Qn,2,"80007-8,80008-6",US.2D|US.M-mode
Minor axis.end diastole/Body surface area,Heart.ventricle.left,Qn,2,"80009-4,80010-2",US.M-mode|US.2D
Minor axis.end systole,Heart.atrium.left,Qn,2,"79975-9,79977-5",US.2D|US.M-mode
Minor axis.end systole,Heart.ventricle.left,Qn,2,"80011-0,80012-8",US.2D|US.M-mode
Minor axis.end systole/Body surface area,Heart.atrium.left,Qn,2,"79976-7,79978-3",US.2D|US.M-mode
Minor axis.end systole/Body surface area,Heart.ventricle.left,Qn,2,"80013-6,80014-4",US.M-mode|US.2D
Miocamycin,Isolate,OrdQn,4,"18949-8,339-2,340-0,55687-8",NA|MIC|Agar diffusion|Gradient strip
Mirtazapine,Ser/Plas,Qn,2,"17283-3,55554-0",NA|NA
Mirtazapine,Urine,Ord,2,"74812-9,78859-6",NA|Confirm
Mite identified,Skin,Nom,3,"23232-2,23233-0,23752-9",Flotation|Sedimentation|NA
Mitochondria Ab,CSF,Qn,2,"42522-3,63280-2",NA|IF
Mitochondria Ab,Ser,Ord,3,"14236-4,17284-1,57413-7",NA|IF|IB
Mitochondria Ab,Ser,Qn,4,"17285-8,20483-4,5247-2,8077-0",IF|NA|IF|NA
Mitochondria M2 Ab,CSF,Ord,3,"63282-8,81726-2,89539-1",IA|IB|Line blot
Mitochondria M2 Ab,Ser,Ord,3,"26054-7,56735-4,63283-6",NA|IB|IA
Mitochondria M2 Ab,Ser,Qn,3,"49781-8,51715-1,51794-6",NA|IA|IF
Mitochondria M2 Ab.IgG,Ser,Qn,3,"14251-3,27215-3,56632-3",NA|NA|IF
Mitochondrial respiratory chain enzymes,Fibroblasts,Qn,5,"76616-2,76617-0,76618-8,76619-6,76620-4","1-14C-pyruvate substrate|2-14C-pyruvate substrate|1-14C-glutamate substrate|2,3-14C-succinate substrate|1-14C-leucine substrate"
Mitotic spindle apparatus Ab,Ser/Plas,Qn,2,"34677-5,53003-0",NA|IF
Mixed cellular casts,Urine,Qn,2,"53283-8,53289-5",Computer assisted|Computer assisted
Mixed cellular casts,Urine sed,Qn,3,"38995-7,53848-8,88971-7",Microscopy.light.LPF|Microscopy.light.HPF|NA
Mobility,^Patient,Ord,2,"73787-4,75247-7",NSRAS|Observed.Norton scale
Moclobemide,Ser/Plas,Qn,2,"34413-5,74941-6",NA|NA
Molybdenum,Bld,Qn,3,"55555-7,5696-0,8206-5",NA|NA|NA
Molybdenum,Hair,Qn,2,"50881-2,5697-8",NA|NA
Molybdenum,RBC,Qn,2,"27343-3,50883-8",NA|NA
Molybdenum,Ser/Plas,Qn,2,"25481-3,5698-6",NA|NA
Molybdenum,Urine,Qn,5,"29974-3,29975-0,50882-0,50884-6,5699-4",NA|NA|NA|NA|NA
Molybdenum,XXX,Qn,2,"20886-8,87466-9",NA|NA
Molybdenum intake,^Patient,Qn,2,"81084-6,81085-3",Estimated|Measured
Molybdenum/Creatinine,Urine,Qn,4,"29976-8,52927-1,52928-9,73583-7",NA|NA|NA|NA
Monensin,XXX,Qn,2,"87464-4,87465-1",NA|NA
Monoblasts,Bld,Qn,2,"33839-2,35029-8",Manual count|NA
Monoblasts/100 leukocytes,Bld,Qn,2,"33840-0,34923-3",Manual count|NA
Monoclonal band observed,Ser/Plas,Nom,2,"13348-8,74665-1",NA|Immunofixation
Monocytes,Bld,Qn,3,"26484-6,742-7,743-5",NA|Automated count|Manual count
Monocytes,Body fld,Qn,2,"33251-0,35076-9",Manual count|NA
Monocytes,CSF,Qn,2,"33252-8,35026-4",Manual count|NA
Monocytes,Periton fld,Qn,2,"35027-2,68421-7",NA|Manual count
Monocytes,Plr fld,Qn,2,"35028-0,68422-5",NA|Manual count
Monocytes,Synv fld,Qn,2,"30145-7,30435-2",Manual count|NA
Monocytes.abnormal,Bld,Qn,2,"29260-7,30440-2",Manual count|NA
Monocytes.abnormal/100 leukocytes,Bld,Qn,2,"29259-9,30441-0",Manual count|NA
Monocytes.immature,Bld,Qn,2,"33841-8,34924-1",Manual count|NA
Monocytes.immature/100 leukocytes,Bld,Qn,2,"33842-6,34925-8",Manual count|NA
Monocytes/100 leukocytes,Bld,Qn,3,"26485-3,5905-5,744-3",NA|Automated count|Manual count
Monocytes/100 leukocytes,Body fld,Qn,2,"10330-9,26487-9",Manual count|NA
Monocytes/100 leukocytes,CSF,Qn,2,"10329-1,26486-1",Manual count|NA
Monocytes/100 leukocytes,Pericard fld,Qn,2,"33389-8,40525-8",NA|Manual count
Monocytes/100 leukocytes,Periton fld,Qn,2,"13835-4,26488-7",Manual count|NA
Monocytes/100 leukocytes,Plr fld,Qn,2,"33362-5,40521-7",NA|Manual count
Monocytes/100 leukocytes,Synv fld,Qn,2,"17286-6,17835-0",Manual count|NA
Monocytes/100 leukocytes,Urine,Qn,2,"17287-4,30442-8",Manual count|NA
Monocytes/leukocytes,Bld,Qn,2,"71672-0,71677-9",Manual count|Automated count
Monocytes+Macrophages,Body fld,Qn,2,"35099-1,76408-4",NA|Manual count
Monocytes+Macrophages,CSF,Qn,2,"35025-6,72411-2",NA|Manual count
Monocytes+Macrophages/100 leukocytes,Body fld,Qn,2,"21394-2,30437-8",Manual count|NA
Monocytes+Macrophages/100 leukocytes,Bronchial,Qn,2,"32806-2,32833-6",Manual count|NA
Monocytes+Macrophages/100 leukocytes,CSF,Qn,2,"23904-6,30436-0",Manual count|NA
Monocytes+Macrophages/100 leukocytes,Periton fld,Qn,2,"32029-1,35020-7",Manual count|NA
Monocytes+Macrophages/100 leukocytes,Plr fld,Qn,2,"32028-3,35021-5",Manual count|NA
Monocytes+Macrophages/100 leukocytes,Synv fld,Qn,2,"21395-9,30438-6",Manual count|NA
Monocytes+Macrophages/100 leukocytes,XXX,Qn,2,"23903-8,30439-4",Manual count|NA
Mononuclear cells,Body fld,Qn,3,"21397-5,26490-3,71689-4",Manual count|NA|Automated count
Mononuclear cells,CSF,Qn,3,"21396-7,26489-5,75655-1",Manual count|NA|Manual count
Mononuclear cells,Pericard fld,Qn,2,"70046-8,75656-9",Automated count|Manual count
Mononuclear cells,Periton fld,Qn,2,"35080-1,70047-6",NA|Automated count
Mononuclear cells,Plr fld,Qn,3,"35018-1,70043-5,75657-7",NA|Automated count|Manual count
Mononuclear cells,Synv fld,Qn,3,"21398-3,26491-1,70050-0",Manual count|NA|Automated count
Mononuclear cells/100 leukocytes,Body fld,Qn,3,"26493-7,71697-7,9305-4",NA|Automated count|Manual count
Mononuclear cells/100 leukocytes,CSF,Qn,2,"12236-6,26492-9",Manual count|NA
Mononuclear cells/100 leukocytes,Gast fld,Qn,2,"14385-9,30443-6",Manual count|NA
Mononuclear cells/100 leukocytes,Pericard fld,Qn,2,"49782-6,70037-7",NA|Automated count
Mononuclear cells/100 leukocytes,Periton fld,Qn,3,"14381-8,26495-2,70038-5",Manual count|NA|Automated count
Mononuclear cells/100 leukocytes,Plr fld,Qn,3,"14380-0,26494-5,70066-6",Manual count|NA|Automated count
Mononuclear cells/100 leukocytes,Semen,Qn,2,"14383-4,26496-0",Manual count|NA
Mononuclear cells/100 leukocytes,Synv fld,Qn,3,"14382-6,26497-8,70042-7",Manual count|NA|Automated count
Monounsaturated fat intake,^Patient,Qn,2,"81897-1,81899-7",Estimated|Measured
Mood,^Patient,-,2,"52497-5,54633-3",NA|CMS Assessment
Morazone,Urine,Qn,2,"3824-0,3825-7",NA|NA
Morphine,Gast fld,Ord,2,"9438-3,9739-4",NA|NA
Morphine,Meconium,Ord,2,"15371-8,29287-0",NA|NA
Morphine,Meconium,Qn,3,"15370-0,26860-7,69027-1",NA|NA|Confirm
Morphine,Ser/Plas,Ord,2,"17290-8,3826-5",Confirm|NA
Morphine,Ser/Plas,Qn,2,"15110-0,3827-3",NA|NA
Morphine,Urine,Ord,4,"13648-1,16196-8,19597-4,3830-7",SAMHSA confirm|Confirm|Screen|NA
Morphine,Urine,Qn,5,"16251-1,3831-5,3832-3,70210-0,78861-2",Confirm|NA|NA|Confirm|NA
Morphine cutoff,Urine,Qn,2,"19599-0,19600-6",Screen|Confirm
Morphine.free,Urine,Ord,3,"19601-4,19602-2,3828-1",Screen|Confirm|NA
Morphine.free,Urine,Qn,2,"20550-0,3829-9",Confirm|NA
Morphine.free cutoff,Urine,Qn,2,"19603-0,19604-8",Screen|Confirm
Morus alba Ab.IgE,Ser,Qn,3,"17291-6,6281-0,7512-7",NA|NA|NA
Morus alba Ab.IgE.RAST class,Ser,Ord,2,"15864-2,15865-9",NA|NA
Morus alba Ab.IgG,Ser,Qn,2,"63202-6,7513-5",NA|NA
Motilin,Ser/Plas,Qn,2,"13130-0,13891-7",NA|NA
Moxalactam,Isolate,OrdQn,4,"18950-6,343-4,344-2,41703-0",NA|MIC|Agar diffusion|Gradient strip
Moxifloxacin,Isolate,OrdQn,5,"31037-5,31039-1,31041-7,31043-3,41502-6",MIC|NA|Agar diffusion|Gradient strip|Method for Slow-growing mycobacteria
Moxifloxacin,Ser/Plas,Qn,2,"43751-7,45223-5",NA|NA
Mucor racemosus Ab.IgG,Ser,Qn,2,"35549-5,7507-7",NA|NA
Mucus,Urine sed,Ord,2,"8247-9,88979-0",Microscopy.light|NA
Mucus,Urine sed,Qn,3,"28545-2,46421-4,50235-1",Microscopy.light.LPF|Microscopy.light.HPF|Automated count
Mullerian inhibiting substance,Ser/Plas,Qn,4,"38476-8,48377-6,83104-0,83105-7",NA|NA|IA|IA
Multisection,Abdomen,Doc,4,"24556-3,24558-9,30762-9,41806-1",MR|US|XR.tomography|CT
Multisection,Abdomen+Pelvis>Appendix,Doc,2,"24548-0,35952-1",US|CT
Multisection,Abdomen>Abdominal vessels,Doc,2,"24534-0,36791-2",US.doppler|MR.angio
Multisection,Abdomen>Adrenal gland,Doc,3,"36930-6,36931-4,69277-2",CT|MR|US
Multisection,Abdomen>Aorta.abdominal,Doc,3,"35948-9,35949-7,69276-4",CT|MR|US
Multisection,Abdomen>Gallbladder,Doc,2,"24711-4,36001-6",US|XR.tomography
Multisection,Abdomen>Kidney,Doc,3,"36032-1,36033-9,38036-0",XR.tomography|MR|US
Multisection,Abdomen>Kidney.bilateral,Doc,4,"24789-0,36034-7,43767-3,43774-9",XR.tomography|MR|CT|US
Multisection,Abdomen>Kidney.left,Doc,2,"36035-4,38038-6",MR|US
Multisection,Abdomen>Kidney.right,Doc,3,"36036-2,38049-3,69113-9",MR|US|CT
Multisection,Abdomen>Liver,Doc,3,"24814-6,28614-6,36046-1",CT|US|MR
Multisection,Abdomen>Pancreas,Doc,3,"24857-5,24859-1,36052-9",CT|US|MR
Multisection,Abdomen>Renal artery,Doc,2,"39435-3,69294-7",US.doppler|US
Multisection,Abdomen>Renal vessels,Doc,3,"30868-4,39426-2,69295-4",MR.angio|US.doppler|US
Multisection,Abdomen>Renal vessels.bilateral,Doc,2,"36804-3,39419-7",MR.angio|US.doppler
Multisection,Abdomen>Retroperitoneum,Doc,2,"24531-6,24566-2",US|CT
Multisection,Abdomen>Spine.lumbar,Doc,4,"24963-1,24968-0,36069-3,69393-7",CT|MR|XR.tomography|US
Multisection,Abdomen>Spleen,Doc,3,"24988-8,24990-4,36070-1",CT|US|MR
Multisection,Abdomen>Superior mesenteric vessels,Doc,2,"44235-0,46359-6",US.doppler|MR.angio
Multisection,Abdomen>Vena cava.inferior,Doc,2,"36082-6,36083-4",MR.angio|MR
Multisection,Breast,Doc,2,"24601-7,30794-2",US|MR
Multisection,Breast.bilateral,Doc,3,"26214-7,30795-9,86463-7",US|MR|MG.tomosynthesis
Multisection,Breast.left,Doc,2,"26215-4,35954-7",US|MR
Multisection,Breast.right,Doc,2,"26216-2,35955-4",US|MR
Multisection,Breast.unilateral,Doc,2,"46299-4,86462-9",MR|MG.tomosynthesis
Multisection,Chest,Doc,4,"24627-2,24629-8,24630-6,24657-9",CT|MR|US|XR.tomography
Multisection,Chest+Abdomen>Vena cava.superior &or Vena cava.inferior,Doc,2,"36081-8,69222-8",MR.angio|MR
Multisection,Chest>Aorta.thoracic,Doc,4,"24544-9,24660-3,35950-5,82709-7",CT|MR.angio|MR|CT.angio
Multisection,Chest>Aorta.thoracic & Abdomen>Aorta.abdominal,Doc,5,"24547-2,35945-5,35946-3,35947-1,46388-5",US|CT|MR.angio|MR|US.doppler
Multisection,Chest>Axilla.left,Doc,2,"43508-1,72529-1",MR|US
Multisection,Chest>Axilla.right,Doc,2,"43510-7,72528-3",MR|US
Multisection,Chest>Brachial plexus,Doc,3,"24582-9,36054-5,44163-4",MR|CT|US
Multisection,Chest>Chest vessels,Doc,2,"30862-7,86981-8",MR.angio|CT.angio
Multisection,Chest>Clavicle,Doc,3,"35959-6,35960-4,35961-2",XR.tomography|CT|MR
Multisection,Chest>Heart,Doc,5,"24748-6,36009-9,42148-7,58744-4,80859-2",MR|MR.angio|US|CT|US.doppler
Multisection,Chest>Mediastinum,Doc,3,"37233-4,37234-2,38044-4",XR.tomography|MR|US
Multisection,Chest>Pulmonary system,Doc,2,"43445-6,43454-8",CT|MR
Multisection,Chest>Scapula,Doc,2,"36061-0,69117-0",MR|CT
Multisection,Chest>Spine.thoracic,Doc,4,"24978-9,24980-5,37911-5,70927-9",CT|MR|XR.tomography|US
Multisection,Chest>Sternum,Doc,3,"36071-9,36072-7,37885-1",CT|MR|XR.tomography
Multisection,Chest>Thymus gland,Doc,2,"43507-3,87876-9",MR|CT
Multisection,Extremity,Doc,4,"24690-0,24693-4,35970-3,69193-1",CT|US|XR.tomography|MR
Multisection,Extremity.bilateral,Doc,2,"26223-8,26224-6",US|CT
Multisection,Extremity.left,Doc,2,"26225-3,26226-1",US|CT
Multisection,Extremity.left>Extremity artery,Doc,2,"39428-8,69293-9",US.doppler|US
Multisection,Extremity.left>Extremity vein,Doc,2,"39429-6,42145-3",US.doppler|US
Multisection,Extremity.right,Doc,2,"26230-3,26231-1",US|CT
Multisection,Extremity.right>Extremity artery,Doc,2,"39439-5,69297-0",US.doppler|US
Multisection,Extremity.right>Extremity vein,Doc,2,"39440-3,42144-6",US.doppler|US
Multisection,Extremity>Extremity vessels,Doc,2,"36794-6,43771-5",MR.angio|US.doppler
Multisection,Head,Doc,4,"24725-4,24728-8,24731-2,80857-6",CT|CT.perfusion|US|US.doppler
Multisection,Head+Neck>Carotid arteries,Doc,2,"24616-5,42146-1",US|US.doppler
Multisection,Head+Neck>Carotid arteries.bilateral,Doc,2,"26217-0,43765-7",US|US.doppler
Multisection,Head+Neck>Carotid arteries.left,Doc,2,"26218-8,39427-0",US|US.doppler
Multisection,Head+Neck>Carotid arteries.right,Doc,2,"26219-6,39437-9",US|US.doppler
Multisection,Head+Neck>Larynx,Doc,2,"36044-6,36045-3",XR.tomography|MR
Multisection,Head>Brain,Doc,3,"24590-2,37442-1,58748-5",MR|MR.spectroscopy|MR.functional
Multisection,Head>Head vessels,Doc,2,"24733-8,30856-9",US.doppler|MR.angio
Multisection,Head>Head vessels & Neck>Neck vessels,Doc,2,"30880-9,42304-6",US.doppler|MR.angio
Multisection,Head>Internal auditory canal,Doc,3,"24767-6,35956-2,35958-8",XR.tomography|MR|CT
Multisection,Head>Internal auditory canal.left,Doc,2,"26254-3,35957-0",XR.tomography|CT
Multisection,Head>Internal auditory canal.right,Doc,2,"26255-0,38767-0",XR.tomography|CT
Multisection,Head>Mandible,Doc,2,"36047-9,36048-7",CT|XR.tomography
Multisection,Head>Mastoid,Doc,2,"36776-3,38043-6",XR.tomography|US
Multisection,Head>Nasal bones,Doc,2,"37606-1,69211-1",XR.tomography|MR
Multisection,Head>Orbit,Doc,2,"36777-1,41807-9",MR|CT
Multisection,Head>Orbit.bilateral,Doc,2,"24848-4,37611-1",CT|XR.tomography
Multisection,Head>Pituitary+Sella turcica,Doc,2,"24880-7,36932-2",MR|CT
Multisection,Head>Posterior fossa,Doc,2,"36055-2,36056-0",CT|MR
Multisection,Head>Salivary gland,Doc,2,"36933-0,69298-8",MR|US
Multisection,Head>Sinuses,Doc,3,"24914-4,30588-8,37866-1",MR|CT|XR.tomography
Multisection,Head>Temporomandibular joint,Doc,3,"24999-5,30719-9,37226-8",MR|XR.tomography|CT
Multisection,Head>Temporomandibular joint.bilateral,Doc,2,"37227-6,37228-4",XR.tomography|MR
Multisection,Head>Temporomandibular joint.left,Doc,2,"37229-2,37230-0",XR.tomography|MR
Multisection,Head>Temporomandibular joint.right,Doc,2,"37231-8,37819-0",MR|XR.tomography
Multisection,Kidney.bilateral+Collecting system,Nar,4,"24774-2,24777-5,24791-6,39417-1",CT|US|XR.tomo|US
Multisection,Lower extremity,Doc,4,"30692-8,30709-0,35971-1,35972-9",MR|US|CT|XR.tomography
Multisection,Lower extremity.bilateral,Doc,3,"35973-7,35975-2,38013-9",CT|MR|US
Multisection,Lower extremity.bilateral>Ankle,Doc,2,"26208-9,35941-4",MR|CT
Multisection,Lower extremity.bilateral>Foot,Doc,2,"26241-0,35993-5",MR|CT
Multisection,Lower extremity.bilateral>Hip,Doc,4,"26250-1,36015-6,36016-4,36017-2",US|XR.tomography|CT|MR
Multisection,Lower extremity.bilateral>Knee,Doc,3,"26256-8,36039-6,36040-4",MR|XR.tomography|CT
Multisection,Lower extremity.bilateral>Lower extremity artery,Doc,2,"38130-1,39421-3",US|US.doppler
Multisection,Lower extremity.bilateral>Lower extremity vein,Doc,2,"39420-5,46364-6",US.doppler|US
Multisection,Lower extremity.bilateral>Lower extremity vessels,Doc,3,"35974-5,39422-1,82711-3",MR.angio|US.doppler|CT.angio
Multisection,Lower extremity.left,Doc,4,"35976-0,35977-8,35978-6,38040-2",CT|XR.tomography|MR|US
Multisection,Lower extremity.left>Ankle,Doc,3,"26209-7,35942-2,35943-0",MR|CT|XR.tomography
Multisection,Lower extremity.left>Femur,Doc,2,"35988-5,38037-8",XR.tomography|US
Multisection,Lower extremity.left>Foot,Doc,3,"26242-8,35994-3,35995-0",MR|CT|XR.tomography
Multisection,Lower extremity.left>Hip,Doc,4,"26251-9,36018-0,36019-8,36020-6",US|CT|XR.tomography|MR
Multisection,Lower extremity.left>Knee,Doc,3,"26257-6,36041-2,36042-0",MR|CT|XR.tomography
Multisection,Lower extremity.left>Lower extremity artery,Doc,2,"39499-9,41834-3",US.doppler|US
Multisection,Lower extremity.left>Lower extremity vein,Doc,2,"39432-0,48692-8",US.doppler|US
Multisection,Lower extremity.left>Lower extremity veins,Doc,2,"36784-7,69392-9",MR.angio|US
Multisection,Lower extremity.left>Lower extremity vessels,Doc,3,"36795-3,39431-2,82712-1",MR.angio|US.doppler|CT.angio
Multisection,Lower extremity.left>Lower leg,Doc,2,"36075-0,87882-7",MR|CT
Multisection,Lower extremity.left>Thigh,Doc,2,"26236-0,35987-7",MR|CT
Multisection,Lower extremity.right,Doc,4,"35979-4,35980-2,37766-3,38051-9",CT|MR|XR.tomography|US
Multisection,Lower extremity.right>Ankle,Doc,3,"26210-5,35944-8,37674-9",MR|CT|XR.tomography
Multisection,Lower extremity.right>Femur,Doc,2,"38048-5,38768-8",US|XR.tomography
Multisection,Lower extremity.right>Foot,Doc,3,"26243-6,35996-8,37706-9",MR|CT|XR.tomography
Multisection,Lower extremity.right>Hip,Doc,4,"26252-7,36021-4,36022-2,37735-8",US|CT|MR|XR.tomography
Multisection,Lower extremity.right>Knee,Doc,3,"26258-4,36043-8,37760-6",MR|CT|XR.tomography
Multisection,Lower extremity.right>Lower extremity artery,Doc,2,"39505-3,41815-2",US.doppler|US
Multisection,Lower extremity.right>Lower extremity vein,Doc,2,"39443-7,48691-0",US.doppler|US
Multisection,Lower extremity.right>Lower extremity vessels,Doc,3,"36796-1,39442-9,82710-5",MR.angio|US.doppler|CT.angio
Multisection,Lower extremity.right>Thigh,Doc,2,"26237-8,35989-3",MR|CT
Multisection,Lower extremity>Ankle,Doc,3,"24538-1,35939-8,35940-6",MR|XR.tomography|CT
Multisection,Lower extremity>Femoral vessels,Doc,2,"30871-8,38134-3",MR.angio|US
Multisection,Lower extremity>Foot,Doc,3,"24707-2,35991-9,35992-7",MR|CT|XR.tomography
Multisection,Lower extremity>Foot vessels,Doc,2,"30872-6,46362-0",MR.angio|US.doppler
Multisection,Lower extremity>Hindfoot+Midfoot,Doc,2,"77448-9,77455-4",CT|XR.tomography
Multisection,Lower extremity>Hip,Doc,4,"24760-1,36012-3,36013-1,36014-9",US|XR.tomography|MR|CT
Multisection,Lower extremity>Knee,Doc,3,"24802-1,36037-0,36038-8",MR|CT|XR.tomography
Multisection,Lower extremity>Lower extremity artery,Doc,2,"39434-6,48693-6",US.doppler|US
Multisection,Lower extremity>Lower extremity vein,Doc,2,"30881-7,46363-8",US.doppler|US
Multisection,Lower extremity>Lower extremity vessels,Doc,3,"30874-2,44174-1,87845-4",MR.angio|US.doppler|CT.angio
Multisection,Lower extremity>Lower leg,Doc,2,"24821-1,36074-3",MR|CT
Multisection,Lower extremity>Thigh,Doc,2,"24702-3,35984-4",MR|CT
Multisection,Neck,Doc,3,"24839-3,24842-7,36051-1",MR|US|CT
Multisection,Neck>Neck vessels,Doc,2,"36085-9,44175-8",MR.angio|US.doppler
Multisection,Neck>Parathyroid gland,Doc,2,"36053-7,38045-1",MR|US
Multisection,Neck>Parotid gland,Doc,3,"37223-5,37224-3,38138-4",CT|MR|US
Multisection,Neck>Spine.cervical,Doc,4,"24932-6,24935-9,36068-5,70926-1",CT|MR|XR.tomography|US
Multisection,Neck>Thyroid gland,Doc,2,"25010-0,42300-4",US|MR
Multisection,Pelvis,Doc,4,"24865-8,24867-4,24869-0,37632-7",CT|MR|US|XR.tomography
Multisection,Pelvis>Ovary,Doc,2,"36779-7,69390-3",MR|US
Multisection,Pelvis>Pelvis veins,Doc,2,"36789-6,87844-7",MR.angio|CT.angio
Multisection,Pelvis>Pelvis vessels,Doc,2,"24870-8,30867-6",US.doppler|MR.angio
Multisection,Pelvis>Penis vessels,Doc,2,"38139-2,80874-1",US|US.doppler
Multisection,Pelvis>Prostate,Doc,2,"30675-3,36057-8",MR|CT
Multisection,Pelvis>Sacroiliac joint,Doc,2,"30619-1,36031-3",CT|MR
Multisection,Pelvis>Sacrum,Doc,4,"36058-6,36059-4,37653-3,38053-5",CT|MR|XR.tomography|US
Multisection,Pelvis>Sacrum+Coccyx,Doc,2,"36060-2,69116-2",MR|CT
Multisection,Pelvis>Scrotum+Testicle,Doc,3,"25002-7,36073-5,48742-1",US|MR|US.doppler
Multisection,Upper extremity,Doc,4,"24688-4,30710-8,35981-0,37923-0",MR|US|CT|XR.tomography
Multisection,Upper extremity.bilateral>Elbow,Doc,3,"26220-4,35964-6,35965-3",MR|XR.tomography|CT
Multisection,Upper extremity.bilateral>Forearm,Doc,2,"26244-4,35998-4",MR|CT
Multisection,Upper extremity.bilateral>Hand,Doc,2,"26247-7,36004-0",MR|CT
Multisection,Upper extremity.bilateral>Shoulder,Doc,3,"26265-9,26266-7,36063-6",US|MR|CT
Multisection,Upper extremity.bilateral>Upper arm,Doc,2,"36026-3,69180-8",CT|MR
Multisection,Upper extremity.bilateral>Upper extremity artery,Doc,2,"38014-7,39423-9",US|US.doppler
Multisection,Upper extremity.bilateral>Upper extremity vein,Doc,2,"39496-5,48690-2",US.doppler|US
Multisection,Upper extremity.bilateral>Wrist,Doc,4,"26277-4,26278-2,37429-8,37430-6",MR|US|XR.tomography|CT
Multisection,Upper extremity.left,Doc,3,"26233-7,35982-8,38041-0",MR|CT|US
Multisection,Upper extremity.left>Elbow,Doc,3,"26221-2,35966-1,35967-9",MR|CT|XR.tomography
Multisection,Upper extremity.left>Forearm,Doc,2,"26245-1,35999-2",MR|CT
Multisection,Upper extremity.left>Hand,Doc,3,"26248-5,36005-7,36006-5",MR|CT|XR.tomography
Multisection,Upper extremity.left>Shoulder,Doc,4,"26267-5,26268-3,36064-4,36065-1",US|MR|CT|XR.tomography
Multisection,Upper extremity.left>Upper arm,Doc,2,"36027-1,36028-9",CT|MR
Multisection,Upper extremity.left>Upper extremity artery,Doc,2,"39500-4,41833-5",US.doppler|US
Multisection,Upper extremity.left>Upper extremity vein,Doc,2,"39501-2,48689-4",US.doppler|US
Multisection,Upper extremity.left>Upper extremity vessels,Doc,3,"36797-9,39433-8,82713-9",MR.angio|US.doppler|CT.angio
